Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,131162.09600174,76021.43108493,0.81880057,0.20099864
2,76130.52262138,55031.57338036,0.60929734,0.20950323
3,40069.36032834,36061.16229304,0.44071744,0.16857990
4,19770.64298607,20298.71734227,0.28853478,0.15218266
5,10282.26906911,9488.37391697,0.18988328,0.09865150
6,6258.37173028,4023.89733882,0.13114298,0.05874030
7,4546.19555084,1712.17617945,0.10532779,0.02581519
8,3702.78233556,843.41321527,0.08935795,0.01596984
9,3174.89199243,527.89034313,0.08217156,0.00718639
10,2785.92142893,388.97056350,0.07540858,0.00676298
11,2485.33497604,300.58645290,0.07097238,0.00443620
12,2232.96833246,252.36664357,0.06710277,0.00386961
13,2019.73559199,213.23274047,0.06263683,0.00446594
14,1842.42106886,177.31452312,0.06051322,0.00212360
15,1681.50308687,160.91798200,0.05786077,0.00265245
16,1545.72766388,135.77542299,0.05511686,0.00274391
17,1427.89917188,117.82849201,0.05233181,0.00278505
18,1327.10616836,100.79300352,0.05024444,0.00208737
19,1236.52896303,90.57720533,0.04881377,0.00143066
20,1159.41343161,77.11553143,0.04696369,0.00185009
21,1093.17062274,66.24280887,0.04525893,0.00170475
22,1029.22319841,63.94742433,0.04401385,0.00124508
23,975.11277450,54.11042391,0.04289541,0.00111844
24,926.10568802,49.00708648,0.04171980,0.00117561
25,882.31613791,43.78955011,0.04078527,0.00093453
26,842.42439988,39.89173803,0.03990674,0.00087853
27,806.28204254,36.14235734,0.03891631,0.00099044
28,773.02433777,33.25770477,0.03791324,0.00100307
29,741.62094562,31.40339215,0.03708770,0.00082554
30,713.62062169,28.00032394,0.03649438,0.00059332
31,687.17761169,26.44300999,0.03554287,0.00095151
32,663.37705777,23.80055392,0.03546147,0.00008141
33,640.44460946,22.93244832,0.03472297,0.00073850
34,618.43524119,22.00936827,0.03357076,0.00115221
35,599.43135112,19.00389007,0.03382290,-0.00025214
36,581.31857539,18.11277573,0.03237119,0.00145171
37,563.15226577,18.16630962,0.03213485,0.00023634
38,545.30576060,17.84650517,0.03157633,0.00055852
39,530.46547983,14.84028077,0.03157124,0.00000508
40,515.17027276,15.29520707,0.03066177,0.00090948
41,501.16387379,14.00639897,0.03013747,0.00052429
42,487.40471072,13.75916308,0.02984127,0.00029620
43,474.83333855,12.57137217,0.02958849,0.00025278
44,462.85517178,11.97816677,0.02898565,0.00060284
45,451.80385668,11.05131510,0.02921836,-0.00023271
46,440.35091919,11.45293749,0.02829321,0.00092514
47,429.18577473,11.16514446,0.02771710,0.00057612
48,419.00997354,10.17580119,0.02747208,0.00024502
49,409.19025521,9.81971832,0.02733719,0.00013489
50,401.68043643,7.50981878,0.02671233,0.00062486
51,390.95473487,10.72570157,0.02665190,0.00006042
52,382.43882613,8.51590874,0.02619210,0.00045981
53,374.29989067,8.13893546,0.02589903,0.00029307
54,365.94383792,8.35605274,0.02567095,0.00022808
55,358.48824921,7.45558871,0.02498319,0.00068776
56,351.36602927,7.12221994,0.02493277,0.00005041
57,343.85587821,7.51015107,0.02489753,0.00003524
58,337.61150302,6.24437519,0.02449025,0.00040728
59,330.57241426,7.03908876,0.02463486,-0.00014461
60,323.64186658,6.93054768,0.02393264,0.00070222
61,317.05414765,6.58771892,0.02383127,0.00010136
62,310.90143668,6.15271097,0.02342636,0.00040492
63,305.07857780,5.82285888,0.02333045,0.00009590
64,299.66037046,5.41820734,0.02320482,0.00012564
65,293.78386329,5.87650717,0.02271436,0.00049045
66,288.56469323,5.21917006,0.02268696,0.00002740
67,283.02863472,5.53605852,0.02257314,0.00011382
68,278.50717217,4.52146254,0.02239750,0.00017564
69,273.25867146,5.24850071,0.02212710,0.00027040
70,268.10132235,5.15734911,0.02181280,0.00031431
71,263.34253791,4.75878443,0.02156814,0.00024466
72,258.96117558,4.38136234,0.02172724,-0.00015910
73,254.22705694,4.73411864,0.02131107,0.00041616
74,249.93954090,4.28751603,0.02107914,0.00023193
75,245.35187793,4.58766298,0.02098487,0.00009427
76,241.19084182,4.16103611,0.02068194,0.00030293
77,237.44313571,3.74770610,0.02042794,0.00025400
78,233.44154165,4.00159406,0.02044228,-0.00001434
79,229.89446883,3.54707282,0.02022339,0.00021890
80,225.71280403,4.18166480,0.01985175,0.00037163
81,221.94806834,3.76473569,0.01972884,0.00012291
82,218.33525428,3.61281407,0.01958632,0.00014252
83,215.69218212,2.64307216,0.01944046,0.00014586
84,211.38436940,4.30781271,0.01929219,0.00014827
85,207.96294733,3.42142207,0.01893930,0.00035289
86,205.06022506,2.90272227,0.01885793,0.00008137
87,201.53031172,3.52991334,0.01876869,0.00008924
88,198.44569220,3.08461952,0.01849966,0.00026903
89,195.33703274,3.10865946,0.01837172,0.00012794
90,192.36776353,2.96926921,0.01824306,0.00012866
91,189.49751438,2.87024915,0.01803394,0.00020912
92,186.71219417,2.78532021,0.01792638,0.00010756
93,183.82184688,2.89034728,0.01778663,0.00013975
94,181.01640369,2.80544319,0.01756600,0.00022063
95,178.34346330,2.67294039,0.01752192,0.00004408
96,175.71333891,2.63012439,0.01735385,0.00016807
97,173.32697615,2.38636277,0.01733791,0.00001594
98,170.59625440,2.73072175,0.01718353,0.00015438
99,168.56568397,2.03057043,0.01735348,-0.00016995
100,165.83841551,2.72726846,0.01690603,0.00044745
101,163.83411895,2.00429656,0.01697453,-0.00006850
102,161.23696341,2.59715554,0.01671557,0.00025897
103,158.92118854,2.31577487,0.01658088,0.00013469
104,156.61211607,2.30907246,0.01639007,0.00019080
105,154.51425323,2.09786284,0.01624046,0.00014961
106,152.52290325,1.99134998,0.01600229,0.00023817
107,150.52420916,1.99869409,0.01632437,-0.00032208
108,148.46868022,2.05552895,0.01601760,0.00030677
109,146.29407665,2.17460356,0.01582130,0.00019630
110,144.45451682,1.83955983,0.01561495,0.00020635
111,142.41396478,2.04055204,0.01550846,0.00010649
112,140.81860615,1.59535863,0.01553402,-0.00002557
113,138.75024367,2.06836248,0.01542010,0.00011393
114,136.90223831,1.84800536,0.01529646,0.00012364
115,135.13513416,1.76710415,0.01502525,0.00027121
116,133.39933283,1.73580133,0.01509308,-0.00006783
117,131.68083153,1.71850130,0.01491352,0.00017956
118,130.01976278,1.66106874,0.01480736,0.00010616
