Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,142938.79740342,184291.60890765,0.84446774,0.19088742
2,85534.74659181,57404.05081162,0.64715115,0.19731659
3,41093.59251198,44441.15407982,0.43391759,0.21323356
4,16460.50708871,24633.08542327,0.24908051,0.18483708
5,6945.68091598,9514.82617273,0.13031064,0.11876987
6,3903.62487091,3042.05604507,0.07280894,0.05750170
7,2923.12020852,980.50466238,0.05795442,0.01485452
8,2542.87792228,380.24228625,0.05652403,0.00143040
9,2348.89694430,193.98097797,0.05850768,-0.00198366
10,2227.89684589,121.00009841,0.05855969,-0.00005200
11,2131.66553997,96.23130592,0.05873265,-0.00017296
12,2059.23779551,72.42774446,0.05826725,0.00046540
13,2000.11950099,59.11829452,0.05786122,0.00040603
14,1943.55384660,56.56565439,0.05729632,0.00056490
15,1893.25678532,50.29706129,0.05648840,0.00080791
16,1849.53411336,43.72267196,0.05587997,0.00060843
17,1810.06174554,39.47236782,0.05561072,0.00026925
18,1768.53734273,41.52440281,0.05483401,0.00077671
19,1730.91657455,37.62076818,0.05423294,0.00060107
20,1695.28397394,35.63260061,0.05391223,0.00032071
21,1663.59690993,31.68706400,0.05328359,0.00062864
22,1628.49509226,35.10181767,0.05264080,0.00064279
23,1601.53506253,26.96002973,0.05202133,0.00061947
24,1568.65056263,32.88449990,0.05148750,0.00053383
25,1537.50322400,31.14733864,0.05073285,0.00075466
26,1512.27918799,25.22403601,0.05037494,0.00035790
27,1487.27740272,25.00178527,0.04991244,0.00046250
28,1457.18683172,30.09057100,0.04959734,0.00031510
29,1433.43069731,23.75613441,0.04891574,0.00068160
30,1408.02936285,25.40133446,0.04830420,0.00061155
31,1388.76919228,19.26017057,0.04820060,0.00010359
32,1362.03164430,26.73754798,0.04788320,0.00031740
33,1339.62232451,22.40931978,0.04725925,0.00062395
34,1318.90658838,20.71573613,0.04638039,0.00087887
35,1300.20056711,18.70602127,0.04665216,-0.00027177
36,1277.81166359,22.38890352,0.04612936,0.00052279
37,1259.18726892,18.62439467,0.04568159,0.00044777
38,1242.36844631,16.81882260,0.04512767,0.00055392
39,1221.91193543,20.45651088,0.04477455,0.00035312
40,1204.96327935,16.94865608,0.04495070,-0.00017615
41,1186.15534468,18.80793467,0.04437795,0.00057275
42,1169.07518210,17.08016258,0.04385623,0.00052171
43,1155.35798457,13.71719752,0.04368279,0.00017344
44,1136.68998735,18.66799722,0.04307757,0.00060523
45,1121.70803378,14.98195357,0.04318884,-0.00011127
46,1107.37791930,14.33011447,0.04268120,0.00050764
47,1091.37531949,16.00259982,0.04238413,0.00029707
48,1076.55088626,14.82443323,0.04199075,0.00039337
49,1062.57943678,13.97144948,0.04191148,0.00007927
50,1050.13619005,12.44324673,0.04158270,0.00032878
51,1035.33273395,14.80345610,0.04123930,0.00034341
52,1023.29587894,12.03685501,0.04146060,-0.00022130
53,1011.25463442,12.04124452,0.04099090,0.00046970
54,998.93072025,12.32391417,0.04073859,0.00025231
55,986.77999004,12.15073021,0.04033116,0.00040743
56,974.27255766,12.50743238,0.03987803,0.00045312
57,961.38039554,12.89216212,0.03995983,-0.00008180
58,950.66614911,10.71424643,0.03971188,0.00024795
59,939.71993141,10.94621770,0.03966416,0.00004772
60,930.14293097,9.57700044,0.03933740,0.00032676
61,917.28834539,12.85458558,0.03875981,0.00057758
62,908.05305723,9.23528816,0.03883486,-0.00007504
63,896.70174359,11.35131364,0.03871654,0.00011832
64,885.92653313,10.77521047,0.03845712,0.00025942
65,875.70440808,10.22212504,0.03821479,0.00024233
66,866.53455759,9.16985050,0.03786689,0.00034791
67,856.03750941,10.49704817,0.03751132,0.00035557
68,846.89376813,9.14374128,0.03772253,-0.00021121
69,837.39525007,9.49851806,0.03731185,0.00041068
70,828.32505290,9.07019717,0.03689069,0.00042116
71,819.06372648,9.26132642,0.03701473,-0.00012404
72,811.53695573,7.52677075,0.03675640,0.00025833
