Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,56797.52248583,143902.32260738,0.52219025,0.48923071
2,11705.03919683,45092.48328900,0.21440415,0.30778611
3,2952.21623958,8752.82295725,0.08309362,0.13131052
4,1524.05676283,1428.15947675,0.05025344,0.03284018
5,1190.66373020,333.39303263,0.04529263,0.00496081
6,1031.41407682,159.24965339,0.04760436,-0.00231173
7,921.83876389,109.57531293,0.04357913,0.00402523
8,850.07259483,71.76616906,0.04398256,-0.00040343
9,790.67641271,59.39618212,0.04090983,0.00307273
10,747.78788448,42.88852823,0.03889179,0.00201803
11,712.81593936,34.97194512,0.03961953,-0.00072774
12,683.89810697,28.91783239,0.03771360,0.00190594
13,661.07636888,22.82173809,0.03837472,-0.00066112
14,639.63111762,21.44525126,0.03723553,0.00113919
15,621.18546234,18.44565528,0.03637448,0.00086104
16,605.18898004,15.99648230,0.03625873,0.00011576
17,590.67020005,14.51877999,0.03589085,0.00036788
18,577.20737392,13.46282613,0.03528901,0.00060183
19,565.37020573,11.83716818,0.03512024,0.00016878
20,553.34972631,12.02047942,0.03455973,0.00056051
21,542.69706300,10.65266331,0.03434802,0.00021171
22,531.94935418,10.74770882,0.03418005,0.00016797
23,522.03933381,9.91002037,0.03389983,0.00028022
24,512.53602367,9.50331014,0.03372044,0.00017939
25,503.24638781,9.28963587,0.03319929,0.00052115
26,495.78308689,7.46330092,0.03319833,0.00000096
27,485.86154754,9.92153936,0.03247624,0.00072210
28,478.39808568,7.46346186,0.03246187,0.00001437
29,469.68030340,8.71778228,0.03216486,0.00029701
30,461.85872252,7.82158088,0.03169143,0.00047343
31,453.85586213,8.00286039,0.03137959,0.00031184
32,446.87746205,6.97840008,0.03153389,-0.00015430
33,439.70070615,7.17675591,0.03110471,0.00042918
34,432.17990152,7.52080462,0.03056004,0.00054467
35,426.94725531,5.23264621,0.03071656,-0.00015652
36,418.31117924,8.63607607,0.03034301,0.00037354
37,412.20464928,6.10652996,0.02996029,0.00038273
38,405.69546682,6.50918245,0.03008503,-0.00012474
39,398.96252795,6.73293888,0.02965330,0.00043173
40,394.33098632,4.63154163,0.02945280,0.00020050
41,387.62190876,6.70907756,0.02952116,-0.00006836
