Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,97492.47177535,107466.19736249,0.69043644,0.34350054
2,34947.74137630,62544.73039905,0.40138531,0.28905113
3,9850.31615752,25097.42521878,0.19176720,0.20961811
4,3395.69934105,6454.61681648,0.08927242,0.10249477
5,2028.81913812,1366.88020293,0.05997915,0.02929327
6,1708.54944151,320.26969661,0.05815023,0.00182893
7,1577.26559950,131.28384200,0.05878860,-0.00063837
8,1489.34018150,87.92541800,0.05860815,0.00018044
9,1413.40084248,75.93933902,0.05670130,0.00190685
10,1348.44061659,64.96022590,0.05633610,0.00036520
11,1290.17552081,58.26509578,0.05455370,0.00178240
12,1233.43962760,56.73589321,0.05300190,0.00155180
13,1189.28144194,44.15818567,0.05196891,0.00103299
14,1138.94846781,50.33297412,0.05113660,0.00083231
15,1096.81096393,42.13750389,0.05058347,0.00055314
16,1057.60596591,39.20499802,0.04876570,0.00181777
17,1021.18854702,36.41741889,0.04815628,0.00060941
18,986.64674923,34.54179779,0.04718759,0.00096869
19,955.80428662,30.84246261,0.04624085,0.00094673
20,924.60234657,31.20194005,0.04565670,0.00058415
21,896.00255010,28.59979647,0.04498201,0.00067469
22,868.95143884,27.05111127,0.04365667,0.00132534
23,843.33988033,25.61155850,0.04304711,0.00060956
24,819.99241491,23.34746542,0.04310833,-0.00006122
25,798.32556678,21.66684813,0.04294474,0.00016360
26,774.49374651,23.83182027,0.04138789,0.00155684
27,753.02000021,21.47374630,0.04059230,0.00079559
28,733.74663405,19.27336616,0.03978924,0.00080306
29,714.19765715,19.54897689,0.03978123,0.00000801
30,696.47729225,17.72036490,0.03888431,0.00089692
31,678.41518050,18.06211175,0.03836978,0.00051453
32,661.96196685,16.45321366,0.03778326,0.00058652
33,645.72671516,16.23525169,0.03721539,0.00056786
34,630.62489426,15.10182090,0.03695610,0.00025929
35,615.52140111,15.10349316,0.03649942,0.00045668
36,601.36282125,14.15857986,0.03591386,0.00058556
37,588.25379498,13.10902627,0.03578201,0.00013185
38,574.77260855,13.48118643,0.03503517,0.00074683
39,563.61489595,11.15771259,0.03454349,0.00049168
40,550.58722597,13.02766998,0.03407169,0.00047180
41,538.51699835,12.07022763,0.03372587,0.00034582
42,528.14757145,10.36942689,0.03395189,-0.00022602
43,516.32168606,11.82588539,0.03326696,0.00068492
44,508.51924584,7.80244022,0.03285701,0.00040995
45,495.62841340,12.89083244,0.03246862,0.00038839
46,485.71066631,9.91774710,0.03196175,0.00050687
47,476.44245657,9.26820974,0.03163020,0.00033155
48,466.97453063,9.46792594,0.03138213,0.00024807
49,461.10371402,5.87081662,0.03110593,0.00027619
50,449.30299971,11.80071431,0.03063766,0.00046828
51,440.93587970,8.36712001,0.03022586,0.00041180
52,432.74300026,8.19287943,0.03004474,0.00018111
53,425.35761744,7.38538282,0.02978156,0.00026318
54,417.92054979,7.43706765,0.02974254,0.00003902
55,410.82075271,7.09979708,0.02931499,0.00042756
56,402.60559483,8.21515788,0.02925073,0.00006425
57,396.53238647,6.07320836,0.02916975,0.00008099
58,388.55423507,7.97815140,0.02827184,0.00089791
59,382.42779288,6.12644219,0.02806192,0.00020993
60,375.27068127,7.15711161,0.02800769,0.00005422
61,368.94123799,6.32944328,0.02777605,0.00023165
62,363.36394157,5.57729642,0.02749214,0.00028390
63,356.75260547,6.61133610,0.02743584,0.00005630
64,351.15954369,5.59306177,0.02707945,0.00035638
65,345.35832515,5.80121855,0.02677467,0.00030478
66,339.77023162,5.58809353,0.02650696,0.00026771
67,335.03419742,4.73603420,0.02670023,-0.00019326
68,328.87252807,6.16166934,0.02597725,0.00072298
69,323.46240801,5.41012006,0.02595672,0.00002053
70,318.30383388,5.15857414,0.02566943,0.00028729
71,313.66658947,4.63724441,0.02560607,0.00006336
72,308.78324284,4.88334663,0.02523353,0.00037254
73,304.55614833,4.22709451,0.02518617,0.00004736
74,299.22663789,5.32951044,0.02486654,0.00031963
75,294.76924496,4.45739293,0.02484864,0.00001790
76,290.25736277,4.51188218,0.02442150,0.00042713
77,286.01326437,4.24409840,0.02417468,0.00024682
78,281.88463752,4.12862686,0.02426670,-0.00009202
79,277.89967027,3.98496725,0.02397963,0.00028707
80,273.74854161,4.15112866,0.02387749,0.00010214
81,269.69007456,4.05846705,0.02355613,0.00032136
82,265.82021669,3.86985787,0.02332042,0.00023571
83,261.87791521,3.94230148,0.02319091,0.00012951
84,258.58156473,3.29635048,0.02295054,0.00024037
85,256.02668340,2.55488133,0.02347475,-0.00052421
86,251.71044395,4.31623946,0.02296143,0.00051332
87,248.21381304,3.49663091,0.02311702,-0.00015559
88,244.37753835,3.83627469,0.02250738,0.00060964
89,240.68244859,3.69508976,0.02221314,0.00029424
90,237.69240262,2.99004597,0.02211253,0.00010061
91,234.54147957,3.15092305,0.02216924,-0.00005671
92,231.08161290,3.45986667,0.02184989,0.00031935
93,228.23674116,2.84487174,0.02181561,0.00003427
94,225.00851412,3.22822704,0.02129334,0.00052228
95,221.97609914,3.03241498,0.02134417,-0.00005083
96,219.11349648,2.86260266,0.02129277,0.00005140
97,216.28311134,2.83038514,0.02112750,0.00016527
98,214.04248865,2.24062269,0.02102389,0.00010361
99,210.62337912,3.41910952,0.02089588,0.00012801
100,207.98916961,2.63420951,0.02073082,0.00016506
101,205.28514248,2.70402714,0.02061029,0.00012053
102,202.91152191,2.37362057,0.02066585,-0.00005555
103,200.18434455,2.72717735,0.02024109,0.00042476
104,198.02459438,2.15975018,0.02032153,-0.00008044
105,195.49293232,2.53166206,0.01999956,0.00032197
106,192.81963241,2.67329990,0.01988648,0.00011308
107,190.43209159,2.38754082,0.01970655,0.00017993
108,188.32180662,2.11028497,0.01960348,0.00010307
109,186.17957321,2.14223341,0.01946813,0.00013535
110,183.80806015,2.37151306,0.01969131,-0.00022318
111,181.65667102,2.15138913,0.01951374,0.00017757
112,179.52015141,2.13651961,0.01935988,0.00015386
113,177.41514556,2.10500584,0.01933652,0.00002336
114,175.62196556,1.79318000,0.01929373,0.00004279
115,172.98894932,2.63301624,0.01872301,0.00057071
116,171.14981911,1.83913021,0.01868628,0.00003673
117,168.99313528,2.15668383,0.01843341,0.00025287
118,167.09059484,1.90254044,0.01827501,0.00015841
119,165.06915025,2.02144459,0.01837945,-0.00010444
120,163.49651098,1.57263927,0.01821169,0.00016776
121,161.34366857,2.15284241,0.01817139,0.00004030
122,159.63870624,1.70496233,0.01798540,0.00018599
123,157.78230693,1.85639931,0.01796238,0.00002303
124,156.06725866,1.71504827,0.01776373,0.00019865
125,154.35659437,1.71066429,0.01778033,-0.00001660
126,152.80774141,1.54885296,0.01763837,0.00014196
127,151.00201836,1.80572306,0.01761909,0.00001927
128,149.25147295,1.75054540,0.01730095,0.00031814
129,148.04939813,1.20207482,0.01764514,-0.00034418
130,146.01399064,2.03540749,0.01734904,0.00029609
131,144.46133825,1.55265239,0.01729451,0.00005453
132,143.17737283,1.28396542,0.01707286,0.00022165
133,141.45541562,1.72195721,0.01683155,0.00024130
134,139.88625669,1.56915893,0.01679467,0.00003688
135,138.61285952,1.27339717,0.01678177,0.00001290
136,137.56610749,1.04675204,0.01695672,-0.00017495
137,135.56220833,2.00389916,0.01649990,0.00045682
138,134.32750396,1.23470437,0.01634240,0.00015750
139,132.73036184,1.59714212,0.01643470,-0.00009231
140,131.41531889,1.31504295,0.01635155,0.00008315
141,130.03574349,1.37957541,0.01627125,0.00008030
142,128.76815414,1.26758935,0.01604206,0.00022919
143,127.42420657,1.34394757,0.01628132,-0.00023927
144,126.14715539,1.27705118,0.01597341,0.00030791
145,125.08660627,1.06054912,0.01593846,0.00003495
146,123.81251325,1.27409302,0.01575640,0.00018207
147,122.39014064,1.42237261,0.01558921,0.00016719
148,121.49374394,0.89639671,0.01593764,-0.00034843
149,120.07882206,1.41492188,0.01557991,0.00035773
150,118.78652840,1.29229366,0.01540100,0.00017891
151,117.69006499,1.09646340,0.01534539,0.00005561
152,116.49843495,1.19163004,0.01526011,0.00008528
153,115.38965657,1.10877838,0.01524950,0.00001060
154,114.28649797,1.10315860,0.01527736,-0.00002785
155,113.15735654,1.12914143,0.01511006,0.00016730
156,112.21488905,0.94246749,0.01503077,0.00007929
157,111.15857384,1.05631521,0.01490314,0.00012763
158,110.24376530,0.91480854,0.01509410,-0.00019096
159,108.96746140,1.27630391,0.01473776,0.00035635
160,108.00011889,0.96734250,0.01477447,-0.00003671
161,106.99652795,1.00359095,0.01458927,0.00018520
162,105.93149286,1.06503508,0.01455066,0.00003861
163,105.05490093,0.87659194,0.01443781,0.00011285
164,104.16389260,0.89100832,0.01448173,-0.00004392
165,103.03886999,1.12502261,0.01438792,0.00009380
166,102.24195989,0.79691010,0.01433590,0.00005202
167,101.18018329,1.06177659,0.01415778,0.00017812
168,100.31854424,0.86163906,0.01416753,-0.00000975
169,99.37164180,0.94690244,0.01412501,0.00004252
170,98.87250173,0.49914007,0.01431388,-0.00018887
171,98.00107045,0.87143128,0.01447284,-0.00015896
172,96.73585664,1.26521381,0.01390538,0.00056746
173,95.86711695,0.86873968,0.01384606,0.00005932
174,95.18705442,0.68006253,0.01392887,-0.00008281
175,94.23583821,0.95121621,0.01369717,0.00023170
176,93.51449863,0.72133958,0.01374717,-0.00005000
177,92.85552280,0.65897583,0.01386435,-0.00011717
178,91.77988278,1.07564002,0.01352869,0.00033566
179,91.02667238,0.75321040,0.01347414,0.00005455
180,90.28740353,0.73926885,0.01336016,0.00011399
181,89.71892233,0.56848120,0.01334891,0.00001125
182,88.78640896,0.93251338,0.01314394,0.00020497
183,88.03037628,0.75603268,0.01332901,-0.00018507
184,87.25982033,0.77055595,0.01334092,-0.00001191
185,86.45589803,0.80392230,0.01312802,0.00021290
186,85.79611198,0.65978605,0.01305168,0.00007633
187,85.17768174,0.61843023,0.01297547,0.00007621
188,84.48578373,0.69189801,0.01310744,-0.00013197
189,83.69714945,0.78863428,0.01290069,0.00020675
190,83.11279895,0.58435050,0.01286366,0.00003702
191,82.43855238,0.67424657,0.01287980,-0.00001614
192,81.61081452,0.82773786,0.01277137,0.00010843
