Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,89009.65065546,110553.09674684,0.65561758,0.32523458
2,30800.41071504,58209.23994042,0.37001987,0.28559771
3,9072.00545895,21728.40525609,0.17445531,0.19556456
4,3487.85094114,5584.15451782,0.08105495,0.09340036
5,2141.79940430,1346.05153684,0.05225062,0.02880434
6,1749.69659412,392.10281017,0.04942572,0.00282490
7,1576.93510070,172.76149342,0.05023557,-0.00080985
8,1464.62978733,112.30531337,0.04995188,0.00028369
9,1381.44496152,83.18482581,0.04969053,0.00026136
10,1309.15108962,72.29387190,0.04899008,0.00070045
11,1247.98550175,61.16558788,0.04779925,0.00119083
12,1194.72835271,53.25714904,0.04663078,0.00116846
13,1147.24489182,47.48346089,0.04636653,0.00026425
14,1103.79046901,43.45442282,0.04512881,0.00123772
15,1064.73179707,39.05867194,0.04414602,0.00098279
16,1028.11266042,36.61913665,0.04350882,0.00063721
17,996.64362842,31.46903200,0.04358663,-0.00007781
18,964.81874209,31.82488633,0.04240389,0.00118274
19,936.60639018,28.21235192,0.04169271,0.00071118
20,910.38376972,26.22262045,0.04082292,0.00086979
21,885.64338849,24.74038123,0.04067329,0.00014963
22,862.27320572,23.37018277,0.03995477,0.00071852
23,841.58967788,20.68352784,0.03925200,0.00070276
24,820.54222298,21.04745491,0.03914232,0.00010969
25,800.82750152,19.71472146,0.03875434,0.00038797
26,783.37826088,17.44924064,0.03872550,0.00002884
27,765.11321299,18.26504789,0.03783405,0.00089145
28,748.28690806,16.82630493,0.03675419,0.00107986
29,732.30372159,15.98318647,0.03669616,0.00005803
30,717.64112640,14.66259518,0.03656083,0.00013533
31,704.37283205,13.26829435,0.03664834,-0.00008750
32,688.90388069,15.46895136,0.03566455,0.00098378
33,675.85139677,13.05248392,0.03486812,0.00079644
34,665.47268278,10.37871399,0.03594345,-0.00107533
35,650.68192106,14.79076172,0.03456818,0.00137526
36,639.19196577,11.48995529,0.03466292,-0.00009474
37,627.46716133,11.72480444,0.03399901,0.00066391
38,616.48949718,10.97766415,0.03349412,0.00050490
39,605.76516372,10.72433346,0.03306216,0.00043196
40,595.48090191,10.28426181,0.03310153,-0.00003937
41,585.73593218,9.74496973,0.03312554,-0.00002401
42,576.53868754,9.19724464,0.03236337,0.00076217
43,566.58554970,9.95313784,0.03223634,0.00012703
44,557.42984493,9.15570476,0.03201538,0.00022096
45,548.64582328,8.78402165,0.03178147,0.00023391
46,541.26538461,7.38043867,0.03219724,-0.00041577
47,531.84331778,9.42206683,0.03096541,0.00123182
48,524.83310057,7.01021721,0.03165575,-0.00069033
49,516.12627829,8.70682229,0.03060176,0.00105399
50,507.92442996,8.20184832,0.03059335,0.00000840
51,500.78949248,7.13493748,0.03059175,0.00000160
52,493.36665954,7.42283294,0.02997675,0.00061499
53,487.05824479,6.30841475,0.03058235,-0.00060559
54,479.54899524,7.50924955,0.02932659,0.00125575
