Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,175428.36321065,97457.98738469,0.93599971,0.14306967
2,138988.25831151,36440.10489914,0.82776125,0.10823845
3,99127.36499134,39860.89332018,0.68817877,0.13958248
4,63090.37247347,36036.99251787,0.52966963,0.15850914
5,37113.41285501,25976.95961846,0.37699057,0.15267906
6,21760.25437470,15353.15848031,0.25482953,0.12216105
7,13809.81715178,7950.43722293,0.17019588,0.08463365
8,9897.06900973,3912.74814205,0.12079570,0.04940018
9,7870.80620611,2026.26280362,0.09756996,0.02322574
10,6691.63276174,1179.17344437,0.08799619,0.00957376
11,5888.20269252,803.43006922,0.08386774,0.00412846
12,5235.22583727,652.97685525,0.08037017,0.00349756
13,4655.81472749,579.41110978,0.07547095,0.00489923
14,4138.62355978,517.19116771,0.07048043,0.00499051
15,3687.20376587,451.41979391,0.06633923,0.00414120
16,3293.94037576,393.26339010,0.06191520,0.00442404
17,2963.37502668,330.56534909,0.05878982,0.00312537
18,2687.40644593,275.96858075,0.05701201,0.00177781
19,2449.42242307,237.98402286,0.05434986,0.00266215
20,2248.03186295,201.39056012,0.05253993,0.00180994
21,2069.88322656,178.14863638,0.05109819,0.00144173
22,1916.04607136,153.83715520,0.04911822,0.00197997
23,1782.37837735,133.66769401,0.04895584,0.00016238
24,1657.00055866,125.37781869,0.04813044,0.00082540
25,1540.27191074,116.72864792,0.04562159,0.00250885
26,1435.84499925,104.42691149,0.04371353,0.00190806
27,1340.39513072,95.44986853,0.04365558,0.00005795
28,1252.25734181,88.13778891,0.04125306,0.00240253
29,1168.85783866,83.39950314,0.04070887,0.00054418
30,1094.59936017,74.25847850,0.03946149,0.00124738
31,1023.71925497,70.88010520,0.03719662,0.00226486
32,957.45899248,66.26026249,0.03625020,0.00094642
33,896.00444301,61.45454948,0.03564308,0.00060712
34,837.89325839,58.11118462,0.03420360,0.00143948
35,785.69426257,52.19899582,0.03311783,0.00108578
36,737.65557620,48.03868636,0.03091280,0.00220503
37,690.15133472,47.50424149,0.03018920,0.00072360
38,647.15439854,42.99693618,0.02943366,0.00075554
39,607.55278258,39.60161596,0.02830129,0.00113237
40,570.93659962,36.61618295,0.02709665,0.00120464
41,536.97407873,33.96252090,0.02560982,0.00148682
42,505.52182565,31.45225308,0.02514884,0.00046099
43,476.82100002,28.70082562,0.02402062,0.00112821
44,449.46466863,27.35633140,0.02290783,0.00111280
45,424.75452091,24.71014771,0.02248679,0.00042104
46,401.92387930,22.83064161,0.02137876,0.00110803
47,380.48742688,21.43645242,0.02094073,0.00043802
48,360.99199171,19.49543517,0.02014999,0.00079075
49,343.07993933,17.91205238,0.01970138,0.00044860
50,326.41652415,16.66341518,0.01946776,0.00023362
51,310.91567617,15.50084798,0.01845367,0.00101409
52,296.81167597,14.10400020,0.01819827,0.00025540
53,283.69789346,13.11378251,0.01744801,0.00075026
54,271.79910667,11.89878680,0.01702284,0.00042517
55,260.48223881,11.31686786,0.01634984,0.00067300
56,250.22800663,10.25423218,0.01610419,0.00024565
57,240.82346097,9.40454566,0.01566140,0.00044279
58,232.31945151,8.50400946,0.01569718,-0.00003579
59,224.10476468,8.21468683,0.01497957,0.00071761
60,216.74568867,7.35907601,0.01500685,-0.00002728
61,209.92444834,6.82124033,0.01416647,0.00084038
62,203.56902737,6.35542097,0.01418257,-0.00001610
63,197.59669710,5.97233027,0.01395445,0.00022813
64,192.21406454,5.38263256,0.01362044,0.00033401
65,187.13243516,5.08162938,0.01372492,-0.00010448
66,182.40170023,4.73073493,0.01360088,0.00012404
67,178.04710397,4.35459626,0.01337533,0.00022555
68,173.97009343,4.07701054,0.01323144,0.00014389
69,170.29460857,3.67548486,0.01278962,0.00044182
70,166.80768253,3.48692604,0.01265745,0.00013216
71,163.44687827,3.36080426,0.01285153,-0.00019408
72,160.30519017,3.14168810,0.01263662,0.00021492
73,157.43921425,2.86597592,0.01271808,-0.00008146
74,154.75552060,2.68369365,0.01273350,-0.00001543
75,152.19740122,2.55811938,0.01248662,0.00024689
76,149.72804547,2.46935574,0.01240302,0.00008360
77,147.45656726,2.27147821,0.01238055,0.00002246
78,145.28036810,2.17619917,0.01216982,0.00021073
79,143.30362373,1.97674436,0.01230614,-0.00013631
80,141.33323309,1.97039065,0.01221518,0.00009096
