Iteration,Cost,Cost Diff
1,15264.03398012,5749.54799290
2,10834.54880701,4429.48517311
3,7726.22592157,3108.32288544
4,5847.01091181,1879.21500976
5,5004.42427396,842.58663785
6,4905.86308026,98.56119371
7,5197.41658709,-291.55350683
8,5558.98322263,-361.56663554
9,5785.05987478,-226.07665215
10,5794.52187631,-9.46200152
11,5597.12617097,197.39570534
12,5254.14034991,342.98582106
13,4846.96397560,407.17637431
14,4454.20643372,392.75754188
15,4135.21850158,318.98793214
16,3920.13625458,215.08224700
17,3808.75746181,111.37879277
18,3778.78623263,29.97122919
19,3798.11829737,-19.33206474
20,3834.70489564,-36.58659827
21,3862.43797992,-27.73308428
22,3864.09566475,-1.65768483
23,3832.21420621,31.88145854
24,3768.31667155,63.89753467
25,3680.85563034,87.46104121
26,3582.30823511,98.54739523
27,3485.95158347,96.35665163
28,3402.95882122,82.99276225
29,3340.40677568,62.55204554
30,3300.46153888,39.94523680
31,3280.67410228,19.78743660
32,3275.16673967,5.50736261
33,3276.39097938,-1.22423971
34,3277.00708931,-0.61610993
35,3271.40881792,5.59827139
36,3256.59353201,14.81528592
37,3232.33597603,24.25755598
38,3200.79431373,31.54166230
39,3165.72149069,35.07282304
40,3131.44163470,34.27985599
41,3101.76850610,29.67312859
42,3079.10742073,22.66108537
43,3063.99327932,15.11414142
44,3055.18378999,8.80948932
45,3050.21824400,4.96554600
46,3046.21122676,4.00701724
47,3040.62818251,5.58304425
48,3031.85170459,8.77647792
49,3019.44165813,12.41004646
50,3004.07704748,15.36461065
51,2987.23110887,16.84593861
52,2970.68158435,16.54952452
53,2955.99479568,14.68678866
54,2944.12849731,11.86629838
55,2935.25825340,8.87024391
56,2928.85072964,6.40752376
57,2923.92036804,4.93036160
58,2919.35765143,4.56271661
59,2914.22396631,5.13368512
60,2907.94835778,6.27560853
61,2900.40274056,7.54561723
62,2891.85978777,8.54295279
63,2882.85661776,9.00317001
64,2874.00491806,8.85169970
65,2865.80201214,8.20290593
66,2858.49812303,7.30388911
67,2852.05667285,6.44145018
68,2846.21147773,5.84519512
69,2840.59057384,5.62090388
70,2834.85550537,5.73506847
71,2828.80507591,6.05042946
72,2822.41210988,6.39296603
73,2815.79105816,6.62105172
74,2809.12056244,6.67049573
75,2802.55824439,6.56231805
76,2796.18160426,6.37664013
77,2789.97288216,6.20872210
78,2783.84544524,6.12743692
79,2777.69338591,6.15205933
