Iteration,Cost,Cost Diff
1,10141.61533392,1241.79930266
2,9052.69006732,1088.92526659
3,8087.61465589,965.07541143
4,7232.81057114,854.80408475
5,6488.82081171,743.98975943
6,5854.67740489,634.14340682
7,5323.13934519,531.53805970
8,4883.69686016,439.44248502
9,4526.73260469,356.96425547
10,4243.70041580,283.03218889
11,4026.62818363,217.07223217
12,3868.16165440,158.46652924
13,3760.82020021,107.34145419
14,3696.06569435,64.75450585
15,3664.16111281,31.90458154
16,3655.09756783,9.06354498
17,3659.85636486,-4.75879703
18,3671.11168971,-11.25532485
19,3683.26306732,-12.15137760
20,3692.20507045,-8.94200313
21,3695.14423520,-2.93916474
22,3690.50352422,4.64071097
23,3677.81182023,12.69170399
24,3657.52840954,20.28341070
25,3630.83186651,26.69654302
26,3599.39329751,31.43856901
27,3565.13042238,34.26287513
28,3529.95523377,35.17518860
29,3495.55707835,34.39815543
30,3463.26145189,32.29562646
31,3433.97304374,29.28840815
32,3408.18518851,25.78785523
33,3386.03449006,22.15069844
34,3367.38564734,18.64884272
35,3351.92755433,15.45809301
36,3339.25320931,12.67434502
37,3328.90663787,10.34657144
38,3320.40439605,8.50224182
39,3313.25012285,7.15427320
40,3306.95418952,6.29593332
41,3301.06145096,5.89273856
42,3295.18454297,5.87690799
43,3289.03543537,6.14910759
44,3282.44576698,6.58966840
45,3275.37025912,7.07550785
46,3267.87359626,7.49666286
47,3260.10459755,7.76899871
48,3252.26214337,7.84245418
49,3244.55703200,7.70511136
50,3237.17405641,7.38297559
51,3230.23959653,6.93445988
52,3223.80125759,6.43833894
53,3217.82614429,5.97511330
54,3212.22145926,5.60468503
55,3206.87353540,5.34792385
56,3201.69057085,5.18296456
57,3196.62869610,5.06187474
58,3191.68969301,4.93900309
59,3186.89682319,4.79286982
60,3182.26698873,4.62983446
61,3177.79481187,4.47217686
62,3173.45253056,4.34228131
63,3169.19916704,4.25336352
64,3164.98997926,4.20918777
65,3160.78197725,4.20800201
66,3156.53736697,4.24461029
67,3152.22899909,4.30836787
68,3147.84883759,4.38016150
69,3143.41473853,4.43409907
70,3138.96852315,4.44621538
71,3134.56372870,4.40479444
72,3130.24996191,4.31376679
73,3126.06317589,4.18678602
74,3122.02518194,4.03799395
75,3118.14800783,3.87717411
76,3114.43651155,3.71149628
77,3110.88675299,3.54975856
78,3107.48306041,3.40369258
79,3104.19831607,3.28474434
80,3100.99897011,3.19934596
81,3097.85222370,3.14674641
82,3094.73148663,3.12073707
83,3091.61816803,3.11331860
84,3088.50074356,3.11742447
85,3085.37333910,3.12740446
86,3082.23521568,3.13812342
87,3079.09087368,3.14434200
88,3075.94964378,3.14122990
89,3072.82405269,3.12559109
90,3069.72722909,3.09682360
91,3066.67027024,3.05695885
92,3063.66046481,3.00980542
93,3060.70071987,2.95974495
94,3057.78989697,2.91082290
95,3054.92349145,2.86640552
96,3052.09436469,2.82912676
97,3049.29371188,2.80065281
98,3046.51253255,2.78117933
99,3043.74341162,2.76912093
100,3040.98190022,2.76151139
101,3038.22679847,2.75510175
102,3035.47924018,2.74755829
103,3032.74115565,2.73808453
104,3030.01391091,2.72724474
105,3027.29761427,2.71629664
106,3024.59109934,2.70651494
107,3021.89232087,2.69877847
108,3019.19891753,2.69340334
109,3016.50881399,2.69010354
110,3013.82076405,2.68804994
111,3011.13467438,2.68608966
112,3008.45153427,2.68314011
113,3005.77290823,2.67862604
114,3003.10017286,2.67273537
115,3000.43384062,2.66633225
116,2997.77328446,2.66055616
117,2995.11696091,2.65632355
118,2992.46296592,2.65399499
119,2989.80962640,2.65333952
120,2987.15589725,2.65372915
121,2984.50150000,2.65439724
122,2981.84685377,2.65464623
123,2979.19286155,2.65399222
124,2976.54059829,2.65226326
125,2973.89097411,2.64962418
126,2971.24449621,2.64647790
127,2968.60124425,2.64325196
128,2965.96107370,2.64017055
129,2963.32393325,2.63714045
130,2960.69012615,2.63380710
131,2958.06040114,2.62972501
132,2955.43587354,2.62452759
133,2952.81785975,2.61801379
134,2950.20771292,2.61014683
135,2947.60669997,2.60101295
136,2945.01591651,2.59078346
137,2942.43622667,2.57968984
138,2939.86822327,2.56800340
139,2937.31220379,2.55601948
140,2934.76814877,2.54405502
141,2932.23569267,2.53245610
142,2929.71410024,2.52159243
143,2927.20228112,2.51181912
144,2924.69886358,2.50341754
145,2922.20230841,2.49655517
146,2919.71101072,2.49129768
147,2917.22334237,2.48766835
148,2914.73762731,2.48571507
149,2912.25208327,2.48554404
150,2909.76477677,2.48730650
151,2907.27362249,2.49115428
152,2904.77643317,2.49718932
153,2902.27100996,2.50542321
154,2899.75525794,2.51575201
155,2897.22731118,2.52794677
156,2894.68565136,2.54165982
157,2892.12920937,2.55644199
158,2889.55744987,2.57175950
159,2886.97045121,2.58699866
160,2884.36899838,2.60145283
161,2881.75470308,2.61429530
162,2879.13015552,2.62454756
163,2876.49909987,2.63105565
164,2873.86660781,2.63249206
165,2871.23920224,2.62740557
166,2868.62485705,2.61434519
167,2866.03277279,2.59208426
168,2863.47280969,2.55996310
169,2860.95447478,2.51833491
170,2858.48545370,2.46902108
171,2856.06988039,2.41557331
172,2853.70680497,2.36307542
173,2851.38949905,2.31730592
174,2849.10612923,2.28336982
175,2846.84186523,2.26426400
176,2844.58187939,2.25998583
177,2842.31431640,2.26756300
178,2840.03237416,2.28194223
179,2837.73501185,2.29736231
180,2835.42622627,2.30878559
181,2833.11319179,2.31303448
182,2830.80384234,2.30934945
183,2828.50463229,2.29921005
184,2826.21912324,2.28550906
185,2823.94768774,2.27143549
186,2821.68817716,2.25951059
187,2819.43710551,2.25107165
188,2817.19086351,2.24624199
189,2814.94663241,2.24423110
190,2812.70287647,2.24375594
191,2810.45944321,2.24343327
192,2808.21735765,2.24208556
193,2805.97840183,2.23895582
194,2803.74458256,2.23381927
195,2801.51762112,2.22696144
196,2799.29859852,2.21902260
197,2797.08781926,2.21077926
198,2794.88485555,2.20296371
199,2792.68868829,2.19616726
200,2790.49789807,2.19079022
201,2788.31090950,2.18698857
202,2786.12628164,2.18462786
203,2783.94298138,2.18330026
204,2781.76055088,2.18243050
205,2779.57911871,2.18143217
206,2777.39927006,2.17984865
207,2775.22183228,2.17743777
208,2773.04763837,2.17419392
209,2770.87732042,2.17031795
210,2768.71117285,2.16614757
211,2766.54910851,2.16206434
212,2764.39070906,2.15839945
213,2762.23534639,2.15536266
214,2760.08233427,2.15301212
215,2757.93106758,2.15126669
216,2755.78112074,2.14994684
217,2753.63229269,2.14882805
218,2751.48459336,2.14769932
219,2749.33817336,2.14642000
220,2747.19321684,2.14495652
221,2745.04983876,2.14337808
222,2742.90802622,2.14181254
223,2740.76763723,2.14038900
224,2738.62844171,2.13919552
225,2736.49017978,2.13826193
226,2734.35261673,2.13756305
227,2732.21558014,2.13703658
228,2730.07897033,2.13660982
229,2727.94274500,2.13622532
230,2725.80689006,2.13585495
231,2723.67139162,2.13549844
