Iteration,Cost,Cost Diff
1,5516.41969058,412.08259980
2,5151.34683748,365.07285310
3,4835.60533226,315.74150523
4,4568.09487088,267.51046138
5,4345.06273314,223.03213774
6,4162.33039888,182.73233426
7,4016.88079299,145.44960589
8,3906.27263727,110.60815572
9,3827.02258590,79.25005137
10,3773.59622782,53.42635808
11,3739.12086617,34.47536165
12,3717.28730338,21.83356278
13,3703.49104432,13.79625906
14,3694.60056979,8.89047453
15,3687.26917127,7.33139852
16,3677.39721561,9.87195566
17,3662.58525302,14.81196259
18,3642.37327323,20.21197979
19,3617.52504500,24.84822823
20,3589.52850149,27.99654351
21,3560.18140912,29.34709237
22,3531.23080716,28.95060196
23,3504.10331538,27.12749178
24,3479.76843813,24.33487725
25,3458.72893575,21.03950237
26,3441.08439335,17.64454241
27,3426.61772764,14.46666571
28,3414.88870327,11.72902437
29,3405.33629282,9.55241045
30,3397.38130346,7.95498936
31,3390.50731582,6.87398764
32,3384.30391944,6.20339637
33,3378.47326751,5.83065193
34,3372.81158568,5.66168182
35,3367.17856036,5.63302533
36,3361.46598686,5.71257350
37,3355.57584784,5.89013902
38,3349.41490528,6.16094256
39,3342.90598580,6.50891948
40,3336.00807964,6.89790616
41,3328.73339850,7.27468113
42,3321.15200382,7.58139468
43,3313.38111423,7.77088959
44,3305.56266175,7.81845249
45,3297.83655488,7.72610687
46,3290.31774976,7.51880512
47,3283.08297294,7.23477682
48,3276.16895007,6.91402287
49,3269.58004464,6.58890543
50,3263.30078279,6.27926184
51,3257.30833673,5.99244606
52,3251.58129391,5.72704282
53,3246.10312860,5.47816531
54,3240.86084431,5.24228429
55,3235.84070209,5.02014222
56,3231.02357569,4.81712640
57,3226.38224471,4.64133098
58,3221.88195285,4.50029186
59,3217.48415776,4.39779510
60,3213.15212010,4.33203766
61,3208.85632609,4.29579400
62,3204.57791105,4.27841504
63,3200.30907221,4.26883884
64,3196.05051501,4.25855720
65,3191.80687481,4.24364020
66,3187.58158134,4.22529347
67,3183.37273374,4.20884759
68,3179.17123923,4.20149452
69,3174.96176650,4.20947272
70,3170.72610489,4.23566162
71,3166.44761387,4.27849102
72,3162.11501528,4.33259859
73,3157.72408801,4.39092727
74,3153.27677034,4.44731767
75,3148.77831078,4.49845956
76,3144.23389990,4.54441088
77,3139.64632822,4.58757168
78,3135.01567246,4.63065576
79,3130.34114038,4.67453208
80,3125.62437482,4.71676556
81,3120.87292171,4.75145311
82,3116.10226495,4.77065676
83,3111.33491617,4.76734878
84,3106.59566622,4.73924995
85,3101.90354553,4.69212069
86,3097.26354772,4.63999781
87,3092.66359703,4.59995069
88,3088.08134654,4.58225049
89,3083.49930444,4.58204210
90,3078.91956712,4.57973733
91,3074.36823289,4.55133423
92,3069.88594174,4.48229116
93,3065.50937118,4.37657056
94,3061.25328493,4.25608625
95,3057.10240983,4.15087510
96,3053.01784090,4.08456893
97,3048.95526890,4.06257200
98,3044.88527665,4.06999225
99,3040.80422112,4.08105553
100,3036.73017254,4.07404858
101,3032.68804023,4.04213231
102,3028.69423815,3.99380208
103,3024.75000097,3.94423718
104,3020.84535633,3.90464465
105,3016.96848650,3.87686982
106,3013.11323296,3.85525354
107,3009.28113148,3.83210148
108,3005.47897376,3.80215773
109,3001.71463210,3.76434166
110,2997.99323559,3.72139651
111,2994.31495437,3.67828123
112,2990.67522318,3.63973119
113,2987.06746967,3.60775350
114,2983.48702470,3.58044498
115,2979.93368536,3.55333934
116,2976.41076434,3.52292102
117,2972.92091623,3.48984811
118,2969.46192741,3.45898882
119,2966.02619347,3.43573394
120,2962.60470180,3.42149167
121,2959.19216798,3.41253382
122,2955.78849501,3.40367297
123,2952.39490694,3.39358807
124,2949.00832900,3.38657793
125,2945.61962294,3.38870606
126,2942.21767477,3.40194817
127,2938.79544035,3.42223443
128,2935.35201098,3.44342937
129,2931.88888125,3.46312972
130,2928.40455225,3.48432901
131,2924.89303164,3.51152061
132,2921.34734448,3.54568716
133,2917.76389295,3.58345153
134,2914.14309075,3.62080220
135,2910.48617803,3.65691272
136,2906.79219289,3.69398514
137,2903.05837063,3.73382226
138,2899.28308723,3.77528340
139,2895.46784059,3.81524664
140,2891.61633241,3.85150818
141,2887.73212377,3.88420864
142,2883.81757076,3.91455301
143,2879.87481025,3.94276051
144,2875.90707357,3.96773667
145,2871.91840048,3.98867310
146,2867.91196014,4.00644033
147,2863.88911318,4.02284697
148,2859.85062800,4.03848518
149,2855.79863033,4.05199767
150,2851.73662150,4.06200883
151,2847.66759936,4.06902214
152,2843.59335736,4.07424200
153,2839.51631148,4.07704588
154,2835.44102958,4.07528190
155,2831.37305742,4.06797216
156,2827.31717516,4.05588226
157,2823.27782635,4.03934881
158,2819.26010502,4.01772132
159,2815.26885642,3.99124860
160,2811.30732473,3.96153169
161,2807.37711461,3.93021012
162,2803.47837931,3.89873530
163,2799.60971407,3.86866524
164,2795.76849830,3.84121577
165,2791.95112750,3.81737080
166,2788.15317078,3.79795672
167,2784.37044449,3.78272629
168,2780.59959917,3.77084533
169,2776.83737209,3.76222707
170,2773.08070493,3.75666716
171,2769.32755959,3.75314534
172,2765.57643156,3.75112803
173,2761.82578470,3.75064686
174,2758.07438582,3.75139887
175,2754.32131146,3.75307437
176,2750.56580402,3.75550744
177,2746.80732679,3.75847723
178,2743.04546471,3.76186208
179,2739.28017344,3.76529128
180,2735.51196791,3.76820553
181,2731.74156967,3.77039824
182,2727.96994228,3.77162738
183,2724.19838864,3.77155364
184,2720.42817523,3.77021342
185,2716.66048998,3.76768525
186,2712.89650010,3.76398988
187,2709.13714800,3.75935210
188,2705.38314023,3.75400777
189,2701.63500875,3.74813149
190,2697.89319342,3.74181533
191,2694.15805213,3.73514129
192,2690.42977894,3.72827319
193,2686.70857093,3.72120800
194,2682.99463137,3.71393956
195,2679.28811628,3.70651510
196,2675.58933019,3.69878608
197,2671.89867060,3.69065959
198,2668.21651505,3.68215555
199,2664.54319763,3.67331742
200,2660.87897310,3.66422453
201,2657.22394708,3.65502602
202,2653.57797441,3.64597267
203,2649.94072018,3.63725422
204,2646.31163592,3.62908427
205,2642.69001243,3.62162348
206,2639.07509234,3.61492009
207,2635.46606510,3.60902724
208,2631.86212482,3.60394028
209,2628.26250750,3.59961732
210,2624.66649867,3.59600883
211,2621.07342891,3.59306976
212,2617.48271473,3.59071418
213,2613.89385340,3.58886133
214,2610.30648454,3.58736887
215,2606.72038019,3.58610435
216,2603.13539982,3.58498037
217,2599.55149108,3.58390873
218,2595.96867616,3.58281492
219,2592.38703918,3.58163698
220,2588.80672825,3.58031092
221,2585.22794657,3.57878168
222,2581.65098775,3.57695882
223,2578.07624650,3.57474125
224,2574.50420073,3.57204577
225,2570.93542186,3.56877886
226,2567.37056458,3.56485728
227,2563.81034680,3.56021778
228,2560.25552155,3.55482525
229,2556.70684200,3.54867955
230,2553.16504814,3.54179387
231,2549.63082545,3.53422269
232,2546.10479460,3.52603085
233,2542.58750785,3.51728675
234,2539.07944336,3.50806450
235,2535.58099397,3.49844939
236,2532.09246406,3.48852991
237,2528.61408092,3.47838314
238,2525.14598769,3.46809323
239,2521.68824970,3.45773798
240,2518.24086090,3.44738880
241,2514.80374881,3.43711209
242,2511.37677948,3.42696933
243,2507.95977628,3.41700320
244,2504.55252585,3.40725043
245,2501.15478421,3.39774164
246,2497.76628939,3.38849482
247,2494.38677115,3.37951824
248,2491.01595107,3.37082008
249,2487.65354883,3.36240224
250,2484.29928527,3.35426356
251,2480.95288376,3.34640152
252,2477.61407237,3.33881139
253,2474.28258001,3.33149236
254,2470.95813332,3.32444669
255,2467.64046261,3.31767071
256,2464.32929769,3.31116492
257,2461.02436559,3.30493211
258,2457.72539119,3.29897440
259,2454.43209510,3.29329609
260,2451.14419269,3.28790241
261,2447.86139171,3.28280099
262,2444.58339125,3.27800046
263,2441.30988464,3.27350661
264,2438.04055638,3.26932826
265,2434.77508524,3.26547114
266,2431.51314730,3.26193794
267,2428.25441697,3.25873033
268,2424.99856869,3.25584828
269,2421.74527678,3.25329191
270,2418.49421891,3.25105787
271,2415.24507254,3.24914637
272,2411.99751765,3.24755488
273,2408.75123271,3.24628494
274,2405.50589668,3.24533603
275,2402.26118197,3.24471471
276,2399.01675974,3.24442223
277,2395.77228798,3.24447176
278,2392.52742562,3.24486236
279,2389.28181060,3.24561503
280,2386.03512275,3.24668784
281,2382.78709361,3.24802914
282,2379.53802713,3.24906648
283,2376.29023820,3.24778893
284,2373.05662997,3.23360823
285,2369.89781574,3.15881422
286,2367.09281763,2.80499812
287,2365.52308770,1.56972993
288,2365.33805677,0.18503093
289,2361.64706178,3.69099499
290,2353.83254973,7.81451205
291,2352.42790548,1.40464425
292,2350.69008266,1.73782282
293,2343.75645122,6.93363144
294,2342.67920858,1.07724263
295,2339.33172792,3.34748067
296,2333.95744350,5.37428441
297,2332.77149138,1.18595212
298,2328.10500022,4.66649116
299,2324.47661992,3.62838029
300,2322.19441681,2.28220311
301,2317.56070090,4.63371591
302,2314.70675225,2.85394865
303,2311.59312020,3.11363205
304,2307.33471567,4.25840453
305,2304.75352533,2.58119034
306,2301.03240150,3.72112383
307,2297.32431185,3.70808964
308,2294.61781635,2.70649551
309,2290.62521177,3.99260457
310,2287.40814937,3.21706240
311,2284.35770367,3.05044570
312,2280.44464969,3.91305398
313,2277.47240875,2.97224094
314,2274.13258100,3.33982775
315,2270.46325920,3.66932180
316,2267.50773674,2.95552246
317,2264.06981889,3.43791784
318,2260.59591646,3.47390244
319,2257.59118810,3.00472836
320,2254.17673732,3.41445078
321,2250.81468489,3.36205243
322,2247.76532523,3.04935966
323,2244.43190808,3.33341715
324,2241.11942479,3.31248329
325,2238.04725835,3.07216645
326,2234.80739197,3.23986638
327,2231.52594912,3.28144285
328,2228.42938614,3.09656298
329,2225.28114822,3.14823791
330,2222.04207747,3.23907076
331,2218.91122831,3.13084916
332,2215.82477540,3.08645291
333,2212.65950439,3.16527101
334,2209.50488887,3.15461553
335,2206.42452114,3.08036772
336,2203.33860711,3.08591404
337,2200.21090964,3.12769746
338,2197.10464816,3.10626149
339,2194.04044581,3.06420235
340,2190.97404414,3.06640167
341,2187.88373619,3.09030796
