Iteration,Cost,Cost Diff
1,3739.87831998,15.49015167
2,3725.38571746,14.49260252
3,3711.86097210,13.52474536
4,3699.27231541,12.58865669
5,3687.59585678,11.67645863
6,3676.81645763,10.77939915
7,3666.92186774,9.89458989
8,3657.89762256,9.02424518
9,3649.72485777,8.17276479
10,3642.38004402,7.34481375
11,3635.83552527,6.54451875
12,3630.06018638,5.77533890
13,3625.01985223,5.04033415
14,3620.67718487,4.34266736
15,3616.99102253,3.68616234
16,3613.91537287,3.07564967
17,3611.39858141,2.51679145
18,3609.38329791,2.01528350
19,3607.80755740,1.57574051
20,3606.60684406,1.20071334
21,3605.71683600,0.89000805
22,3605.07651475,0.64032126
23,3604.63112711,0.44538764
24,3604.33429113,0.29683597
25,3604.14873748,0.18555365
26,3604.04572054,0.10301694
27,3604.00359149,0.04212905
28,3604.00612593,-0.00253444
29,3604.04102065,-0.03489472
30,3604.09873367,-0.05771302
31,3604.17167354,-0.07293987
32,3604.25366874,-0.08199520
33,3604.33963473,-0.08596599
34,3604.42536934,-0.08573461
35,3604.50742678,-0.08205745
36,3604.58303702,-0.07561023
37,3604.65004922,-0.06701220
38,3604.70688616,-0.05683694
39,3604.75250120,-0.04561504
40,3604.78633332,-0.03383211
41,3604.80825763,-0.02192431
42,3604.81853101,-0.01027338
43,3604.81773344,0.00079757
44,3604.80670675,0.01102669
45,3604.78649291,0.02021384
46,3604.75827408,0.02821883
47,3604.72331648,0.03495760
48,3604.68291971,0.04039677
49,3604.63837264,0.04454707
50,3604.59091652,0.04745613
51,3604.54171535,0.04920117
52,3604.49183353,0.04988182
53,3604.44222006,0.04961347
54,3604.39369893,0.04852113
55,3604.34696474,0.04673419
56,3604.30258292,0.04438182
57,3604.26099366,0.04158926
58,3604.22251880,0.03847487
59,3604.18737092,0.03514788
60,3604.15566405,0.03170687
61,3604.12742523,0.02823881
62,3604.10260663,0.02481860
63,3604.08109757,0.02150905
64,3604.06273639,0.01836119
65,3604.04732157,0.01541482
66,3604.03462225,0.01269931
67,3604.02438777,0.01023448
68,3604.01635623,0.00803155
69,3604.01026202,0.00609421
70,3604.00584236,0.00441966
71,3604.00284273,0.00299963
72,3604.00102133,0.00182140
73,3604.00015262,0.00086871
74,3604.00002988,0.00012274
75,3604.00046704,-0.00043716
76,3604.00129967,-0.00083263
77,3604.00238538,-0.00108571
78,3604.00360360,-0.00121822
79,3604.00485484,-0.00125124
80,3604.00605963,-0.00120479
81,3604.00715701,-0.00109738
82,3604.00810292,-0.00094591
83,3604.00886829,-0.00076537
84,3604.00943713,-0.00056885
85,3604.00980457,-0.00036744
86,3604.00997488,-0.00017031
87,3604.00995961,0.00001527
88,3604.00977584,0.00018378
89,3604.00944452,0.00033132
90,3604.00898907,0.00045545
91,3604.00843407,0.00055500
92,3604.00780417,0.00062990
93,3604.00712320,0.00068096
94,3604.00641349,0.00070971
