Iteration,Cost,Cost Diff
1,52291.29549168,9983.83041878
2,43364.36019738,8926.93529429
3,35535.76983168,7828.59036570
4,28793.32395148,6742.44588020
5,23082.15578576,5711.16816572
6,18329.72012502,4752.43566074
7,14462.10091676,3867.61920826
8,11405.79168906,3056.30922770
9,9084.97400798,2320.81768108
10,7418.63001899,1666.34398899
11,6319.42839891,1099.20162008
12,5694.81923733,624.60916158
13,5448.63446703,246.18477030
14,5482.34090875,-33.70644173
15,5697.34509386,-215.00418511
16,6000.17262403,-302.82753017
17,6309.76047014,-309.58784611
18,6563.44995891,-253.68948877
19,6719.49762485,-156.04766594
20,6756.67548091,-37.17785606
21,6672.19282315,84.48265776
22,6478.52333498,193.66948817
23,6199.35683906,279.16649591
24,5864.88035620,334.47648286
25,5506.71931274,358.16104346
26,5153.29046049,353.42885225
27,4826.64761840,326.64284209
28,4541.43425387,285.21336453
29,4305.54840940,235.88584448
30,4121.53208819,184.01632121
31,3987.87984544,133.65224275
32,3900.02353275,87.85631269
33,3851.15700882,48.86652392
34,3833.05977524,18.09723359
35,3836.88805328,-3.82827804
36,3853.86550937,-16.97745609
37,3875.87492447,-22.00941510
38,3895.96479052,-20.08986605
39,3908.75014813,-12.78535761
40,3910.66223205,-1.91208392
41,3900.00870634,10.65352571
42,3876.83874175,23.16996458
43,3842.64436991,34.19437185
44,3799.95424042,42.69012949
45,3751.88255605,48.07168437
46,3701.68906201,50.19349405
47,3652.39509500,49.29396701
48,3606.49225640,45.90283860
49,3565.76961147,40.72264493
50,3531.26335537,34.50625610
51,3503.30541840,27.95793697
52,3481.63340262,21.67201578
53,3465.52930294,16.10409967
54,3453.96627084,11.56303210
55,3445.75078300,8.21548784
56,3439.65167302,6.09910999
57,3434.51032741,5.14134561
58,3429.32878318,5.18154422
59,3423.33395193,5.99483125
60,3416.01646632,7.31748561
61,3407.14242504,8.87404128
62,3396.73699099,10.40543404
63,3385.04139341,11.69559758
64,3372.44909999,12.59229342
65,3359.43112956,13.01797043
66,3346.46267324,12.96845633
67,3333.96220403,12.50046921
68,3322.25033853,11.71186550
69,3311.53037858,10.71995995
70,3301.88769455,9.64268403
71,3293.30242371,8.58527084
72,3285.66972578,7.63269793
73,3278.82331826,6.84640752
74,3272.55993586,6.26338240
75,3266.66365468,5.89628118
76,3260.92926868,5.73438600
77,3255.18333941,5.74592927
78,3249.30079648,5.88254293
79,3243.21471726,6.08607922
80,3236.91755099,6.29716627
81,3230.45351744,6.46403355
82,3223.90374338,6.54977407
83,3217.36725947,6.53648391
84,3210.94172891,6.42553055
85,3204.70749673,6.23423218
86,3198.71738646,5.99011027
87,3192.99305577,5.72433069
88,3187.52717773,5.46587804
