Iteration,Cost,Cost Diff
1,22077.69379822,2687.54453352
2,19615.21440479,2462.47939343
3,17377.37565331,2237.83875148
4,15358.53792118,2018.83773213
5,13547.16414705,1811.37377413
6,11928.52263549,1618.64151156
7,10489.21552818,1439.30710730
8,9219.57001304,1269.64551514
9,8114.25879732,1105.31121573
10,7171.05395981,943.20483751
11,6387.57648656,783.47747325
12,5756.53731004,631.03917651
13,5262.55473131,493.98257873
14,4883.97324297,378.58148834
15,4598.21075588,285.76248709
16,4385.77077302,212.43998286
17,4230.95039336,154.82037966
18,4120.82104952,110.12934384
19,4044.44374920,76.37730032
20,3992.69985917,51.74389003
21,3958.16138190,34.53847728
22,3934.95329534,23.20808655
23,3918.66985941,16.28343593
24,3906.24173989,12.42811952
25,3895.67271318,10.56902671
26,3885.66716111,10.00555206
27,3875.25582317,10.41133794
28,3863.55159415,11.70422902
29,3849.69805927,13.85353488
30,3832.95505258,16.74300669
31,3812.80982254,20.14523003
32,3789.04391254,23.76591000
33,3761.74813020,27.29578234
34,3731.30290551,30.44522469
35,3698.33846142,32.96444409
36,3663.68070865,34.65775277
37,3628.28257220,35.39813645
38,3593.14026527,35.14230693
39,3559.20095281,33.93931245
40,3527.27627815,31.92467466
41,3497.97736327,29.29891488
42,3471.68045532,26.29690795
43,3448.52441925,23.15603606
44,3428.43572698,20.08869227
45,3411.17298007,17.26274692
46,3396.38097222,14.79200784
47,3383.64468694,12.73628528
48,3372.53614620,11.10854074
49,3362.65023534,9.88591086
50,3353.62852349,9.02171184
51,3345.17225909,8.45626440
52,3337.04673851,8.12552058
53,3329.07920046,7.96753806
54,3321.15215172,7.92704873
55,3313.19418556,7.95796616
56,3305.17047020,8.02371536
57,3297.07449183,8.09597837
58,3288.92157934,8.15291248
59,3280.74411812,8.17746122
60,3272.58832310,8.15579502
61,3264.51216297,8.07616012
62,3256.58330992,7.92885306
63,3248.87572293,7.70758698
64,3241.46410803,7.41161490
65,3234.41650353,7.04760450
66,3227.78606084,6.63044269
67,3221.60357183,6.18248901
68,3215.87238840,5.73118342
69,3210.56702421,5.30536419
70,3205.63593946,4.93108475
71,3201.00802914,4.62791032
72,3196.60154537,4.40648377
73,3192.33383447,4.26771090
74,3188.13033953,4.20349494
75,3183.93165826,4.19868127
76,3179.69790957,4.23374870
77,3175.41014509,4.28776447
78,3171.06897447,4.34117063
79,3166.69091781,4.37805665
80,3162.30324060,4.38767721
81,3157.93814835,4.36509224
82,3153.62721217,4.31093618
83,3149.39676588,4.23044629
84,3145.26478829,4.13197759
85,3141.23950000,4.02528829
86,3137.31961250,3.91988750
87,3133.49591764,3.82369486
88,3129.75373844,3.74217919
89,3126.07570101,3.67803744
90,3122.44433119,3.63136982
91,3118.84410653,3.60022466
92,3115.26276483,3.58134170
93,3111.69184403,3.57092080
94,3108.12656708,3.56527695
95,3104.56526965,3.56129743
96,3101.00859260,3.55667705
97,3097.45863601,3.54995659
98,3093.91821500,3.54042101
99,3090.39029058,3.52792442
100,3086.87758925,3.51270133
101,3083.38238371,3.49520554
102,3079.90638821,3.47599550
103,3076.45072293,3.45566528
104,3073.01591432,3.43480861
105,3069.60191467,3.41399965
106,3066.20813623,3.39377845
107,3062.83350073,3.37463550
108,3059.47650484,3.35699589
109,3056.13529900,3.34120583
110,3052.80777550,3.32752350
111,3049.49166231,3.31611319
112,3046.18462128,3.30704103
113,3042.88435014,3.30027114
114,3039.58868562,3.29566452
115,3036.29570021,3.29298541
116,3033.00377956,3.29192065
117,3029.71166539,3.29211417
118,3026.41845209,3.29321330
119,3023.12353494,3.29491715
120,3019.82652097,3.29701397
121,3016.52712558,3.29939539
122,3013.22508398,3.30204160
123,3009.92010339,3.30498059
124,3006.61186966,3.30823373
125,3003.30010496,3.31176470
126,2999.98465668,3.31544828
127,2996.66558875,3.31906793
128,2993.34324697,3.32234177
129,2990.01828017,3.32496680
130,2986.69161380,3.32666637
131,2983.36438686,3.32722694
132,2980.03787115,3.32651572
133,2976.71339235,3.32447880
134,2973.39226627,3.32112607
135,2970.07575395,3.31651232
136,2966.76503123,3.31072273
137,2963.46116443,3.30386680
138,2960.16508506,3.29607937
139,2956.87756165,3.28752341
140,2953.59917333,3.27838831
141,2950.33029390,3.26887943
142,2947.07109520,3.25919870
143,2943.82157453,3.24952067
144,2940.58160354,3.23997099
145,2937.35098957,3.23061397
146,2934.12953649,3.22145308
147,2930.91709320,3.21244329
148,2927.71358250,3.20351070
149,2924.51900931,3.19457319
150,2921.33345233,3.18555697
151,2918.15704551,3.17640682
152,2914.98995483,3.16709068
153,2911.83235409,3.15760074
154,2908.68440126,3.14795283
155,2905.54621704,3.13818423
156,2902.41786784,3.12834920
157,2899.29935660,3.11851123
158,2896.19062408,3.10873252
159,2893.09156122,3.09906286
160,2890.00203019,3.08953103
161,2886.92188908,3.08014111
162,2883.85101503,3.07087405
163,2880.78932171,3.06169333
164,2877.73676968,3.05255202
165,2874.69337021,3.04339947
166,2871.65918331,3.03418690
167,2868.63431111,3.02487220
168,2865.61888686,3.01542425
169,2862.61306041,3.00582645
170,2859.61698182,2.99607859
171,2856.63078571,2.98619611
172,2853.65457878,2.97620693
173,2850.68843225,2.96614653
174,2847.73237986,2.95605239
175,2844.78642048,2.94595938
176,2841.85052346,2.93589701
177,2838.92463383,2.92588964
178,2836.00867482,2.91595901
179,2833.10254746,2.90612735
180,2830.20612885,2.89641861
181,2827.31927136,2.88685749
182,2824.44180343,2.87746794
183,2821.57353025,2.86827317
184,2818.71423389,2.85929636
185,2815.86367573,2.85055816
186,2813.02160712,2.84206861
187,2810.18779207,2.83381505
188,2807.36204134,2.82575073
189,2804.54425617,2.81778516
190,2801.73448270,2.80977347
191,2798.93297764,2.80150506
192,2796.14027703,2.79270061
193,2793.35724612,2.78303092
194,2790.58508287,2.77216325
195,2787.82525257,2.75983029
196,2785.07934308,2.74590949
197,2782.34884839,2.73049469
198,2779.63491807,2.71393032
199,2776.93814211,2.69677597
200,2774.25844887,2.67969324
201,2771.59515944,2.66328943
202,2768.94718019,2.64797925
203,2766.31326352,2.63391667
204,2763.69225107,2.62101245
205,2761.08323519,2.60901588
206,2758.48561475,2.59762044
207,2755.89905799,2.58655676
208,2753.32340664,2.57565135
209,2750.75856065,2.56484599
210,2748.20437823,2.55418242
211,2745.66061548,2.54376276
212,2743.12691728,2.53369819
213,2740.60285726,2.52406002
214,2738.08801158,2.51484568
215,2735.58204330,2.50596828
216,2733.08477211,2.49727120
217,2730.59620954,2.48856257
218,2728.11655032,2.47965922
219,2725.64612187,2.47042845
220,2723.18530410,2.46081778
221,2720.73443770,2.45086640
222,2718.29374039,2.44069731
223,2715.86324725,2.43049314
224,2713.44278476,2.42046249
225,2711.03197993,2.41080483
226,2708.63029791,2.40168202
227,2706.23709569,2.39320222
228,2703.85167706,2.38541863
229,2701.47333543,2.37834163
230,2699.10137583,2.37195960
231,2696.73511366,2.36626217
232,2694.37385360,2.36126006
233,2692.01685620,2.35699740
234,2689.66330121,2.35355498
235,2687.31225612,2.35104509
236,2684.96265623,2.34959989
237,2682.61329985,2.34935638
238,2680.26285939,2.35044045
239,2677.90990734,2.35295205
240,2675.55295523,2.35695211
241,2673.19050392,2.36245131
242,2670.82110398,2.36939994
243,2668.44342543,2.37767855
244,2666.05633635,2.38708909
245,2663.65898901,2.39734733
246,2661.25091028,2.40807874
247,2658.83208955,2.41882073
248,2656.40305373,2.42903582
249,2653.96491424,2.43813949
250,2651.51936887,2.44554537
251,2649.06864263,2.45072624
252,2646.61535827,2.45328435
253,2644.16233933,2.45301895
254,2641.71236341,2.44997591
255,2639.26789831,2.44446510
256,2636.83086176,2.43703655
257,2634.40244623,2.42841553
258,2631.98303982,2.41940641
259,2629.57225646,2.41078337
260,2627.16906708,2.40318937
261,2624.77200408,2.39706300
262,2622.37939881,2.39260528
263,2619.98960971,2.38978909
264,2617.60120543,2.38840429
265,2615.21308041,2.38812502
266,2612.82449679,2.38858362
267,2610.43506014,2.38943664
268,2608.04464745,2.39041270
269,2605.65331052,2.39133693
270,2603.26117824,2.39213228
271,2600.86837642,2.39280182
272,2598.47497688,2.39339954
273,2596.08097887,2.39399801
274,2593.68631830,2.39466057
275,2591.29089481,2.39542349
276,2588.89460500,2.39628981
277,2586.49737185,2.39723315
278,2584.09916416,2.39820770
279,2581.70000434,2.39915982
