Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,36597.97695315,1666.21017437,1.20119834,0.33803397
2,35141.31856864,1456.65838451,0.87432565,0.32687268
3,33877.78820294,1263.53036570,0.58085471,0.29347095
4,32784.99170956,1092.79649338,0.37767636,0.20317835
5,31833.92828091,951.06342865,0.30010291,0.07757344
6,30988.85070248,845.07757843,0.30710067,-0.00699776
7,30210.18089326,778.66980921,0.37415385,-0.06705318
8,29461.73496961,748.44592366,0.47272838,-0.09857453
9,28717.77852164,743.95644797,0.53768023,-0.06495185
10,27965.64930151,752.12922012,0.56543043,-0.02775021
11,27204.07506329,761.57423822,0.56066640,0.00476403
12,26439.40926396,764.66579933,0.53130336,0.02936304
13,25681.69372500,757.71553896,0.48689768,0.04440568
14,24941.45305828,740.24066672,0.44002223,0.04687545
15,24227.42286166,714.03019663,0.40317602,0.03684622
16,23545.15425319,682.26860847,0.38154490,0.02163111
17,22896.40977919,648.74447400,0.37889636,0.00264855
18,22279.28778834,617.12199086,0.39545578,-0.01655942
19,21688.99720100,590.29058734,0.42417474,-0.02871896
20,21119.12679073,569.87041027,0.45734936,-0.03317462
21,20563.13442162,555.99236911,0.48897538,-0.03162602
22,20015.69268248,547.44173915,0.51657442,-0.02759904
23,19473.55720797,542.13547450,0.53922915,-0.02265473
24,18935.79976536,537.75744261,0.55648037,-0.01725122
25,18403.46801843,532.33174694,0.56969504,-0.01321468
26,17878.87252090,524.59549752,0.58198215,-0.01228710
27,17364.73575578,514.13676512,0.59435308,-0.01237093
28,16863.40870642,501.32704936,0.60789270,-0.01353962
29,16376.30525475,487.10345168,0.62576328,-0.01787058
30,15903.64091093,472.66434381,0.64516239,-0.01939911
31,15444.49360792,459.14730302,0.66374000,-0.01857761
32,14997.13414152,447.35946639,0.68151855,-0.01777855
33,14559.51481995,437.61932157,0.69924702,-0.01772847
34,14129.77497968,429.73984027,0.71632003,-0.01707301
35,13706.63227211,423.14270758,0.73169764,-0.01537761
36,13289.57418962,417.05808249,0.74506702,-0.01336939
37,12878.82781777,410.74637185,0.75687202,-0.01180499
38,12475.14726718,403.68055059,0.76776570,-0.01089368
39,12079.50110313,395.64616405,0.77818544,-0.01041974
40,11692.75676757,386.74433557,0.78841692,-0.01023149
41,11315.44575360,377.31101396,0.79809398,-0.00967705
42,10947.66027714,367.78547646,0.80716738,-0.00907340
43,10589.09048528,358.56979186,0.81569584,-0.00852847
44,10239.17206736,349.91841792,0.82372546,-0.00802962
45,9897.28736126,341.88470610,0.83128711,-0.00756165
46,9562.95506810,334.33229316,0.83839506,-0.00710795
47,9235.95534251,326.99972559,0.84504688,-0.00665182
48,8916.36306614,319.59227636,0.85122465,-0.00617777
49,8604.49292966,311.87013648,0.85689729,-0.00567264
50,8300.78525194,303.70767772,0.86202384,-0.00512655
51,8005.67423158,295.11102036,0.86655732,-0.00453348
52,7719.47883450,286.19539708,0.87044883,-0.00389151
53,7442.34373028,277.13510422,0.87365150,-0.00320267
54,7174.23909965,268.10463063,0.87612395,-0.00247244
55,6915.00970356,259.22939609,0.87783288,-0.00170893
56,6664.45034574,250.55935782,0.87875478,-0.00092190
57,6422.37996041,242.07038533,0.87887655,-0.00012177
58,6188.69073914,233.68922128,0.87819527,0.00068128
