Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,44994.21340584,1482.33977118,0.98124497,0.33376318
2,43738.01126161,1256.20214423,0.72612587,0.25511910
3,42673.49603918,1064.51522243,0.57006309,0.15606278
4,41760.39184693,913.10419225,0.52019615,0.04986694
5,40948.80741292,811.58443401,0.54759243,-0.02739628
6,40187.55262835,761.25478457,0.60418136,-0.05658893
7,39435.23628882,752.31633953,0.65512720,-0.05094583
8,38668.38344657,766.85284225,0.68406445,-0.02893725
9,37881.85515252,786.52829405,0.69003238,-0.00596793
10,37083.27132547,798.58382705,0.67919322,0.01083916
11,36285.99762103,797.27370443,0.66377847,0.01541475
12,35503.42806242,782.56955861,0.65095642,0.01282205
13,34745.19687022,758.23119220,0.64775553,0.00320089
14,34015.22456103,729.97230919,0.65854850,-0.01079297
15,33311.51952446,703.70503656,0.67777116,-0.01922265
16,32627.59040800,683.92911647,0.70401107,-0.02623992
17,31954.92701303,672.66339496,0.73120525,-0.02719417
18,31285.65880799,669.26820504,0.75508590,-0.02388065
19,30614.52687051,671.13193749,0.77488908,-0.01980318
20,29939.68116094,674.84570956,0.79023708,-0.01534800
21,29262.32850291,677.35265803,0.80137899,-0.01114191
22,28585.62282181,676.70568110,0.81006726,-0.00868827
23,27913.28715064,672.33567117,0.81969882,-0.00963155
24,27248.37581401,664.91133664,0.83261596,-0.01291715
25,26592.45178007,655.92403394,0.84739096,-0.01477500
26,25945.32153799,647.13024208,0.86410574,-0.01671478
27,25305.33236782,639.98917017,0.88235361,-0.01824787
28,24670.08997914,635.24238868,0.90203284,-0.01967923
29,24037.33250792,632.75747122,0.92078515,-0.01875231
30,23405.65882159,631.67368633,0.93803622,-0.01725107
31,22774.88567335,630.77314824,0.95380139,-0.01576516
32,22145.96539129,628.92028206,0.96819075,-0.01438937
33,21520.55684956,625.40854173,0.98156902,-0.01337826
34,20900.44304358,620.11380598,0.99466112,-0.01309210
35,20287.00745427,613.43558930,1.00810876,-0.01344765
36,19680.93176359,606.07569069,1.02224107,-0.01413230
37,19082.18573414,598.74602944,1.03708727,-0.01484620
