Iteration,Cost,Cost Diff
1,1710.18175128,38.64942523
2,1672.80053298,37.38121830
3,1636.71465486,36.08587813
4,1601.94594030,34.76871456
5,1568.51054050,33.43539980
6,1536.41857284,32.09196766
7,1505.67378736,30.74478548
8,1476.27329350,29.40049386
9,1448.20738279,28.06591071
10,1421.45948652,26.74789627
11,1396.00631168,25.45317484
12,1371.81820024,24.18811144
13,1348.85974986,22.95845038
14,1327.09071164,21.76903822
15,1306.46713944,20.62357220
16,1286.94271355,19.52442589
17,1268.47011630,18.47259725
18,1251.00231897,17.46779734
19,1234.49365840,16.50866057
20,1218.90063103,15.59302736
21,1204.18239105,14.71823999
22,1190.30098752,13.88140353
23,1177.22140112,13.07958639
24,1164.91144452,12.30995661
25,1153.34158026,11.56986425
26,1142.48469380,10.85688646
27,1132.31584323,10.16885058
28,1122.81199506,9.50384817
29,1113.95174696,8.86024809
30,1105.71503364,8.23671332
31,1098.08281033,7.63222331
32,1091.03670885,7.04610148
33,1084.55866342,6.47804543
34,1078.63050733,5.92815609
35,1073.23354735,5.39695999
36,1068.34812946,4.88541789
37,1063.95321675,4.39491271
38,1060.02600624,3.92721051
39,1056.54161565,3.48439059
40,1053.47287255,3.06874310
41,1050.79023643,2.68263612
42,1048.46187951,2.32835692
43,1046.45394372,2.00793579
44,1044.73097993,1.72296379
45,1043.25656080,1.47441912
46,1041.99404277,1.26251804
47,1040.90743565,1.08660711
48,1039.96232461,0.94511104
49,1039.12677885,0.83554576
50,1038.37217890,0.75459995
51,1037.67389843,0.69828047
52,1037.01178832,0.66211011
53,1036.37042786,0.64136046
54,1035.73912797,0.63129989
55,1035.11169183,0.62743614
56,1034.48595665,0.62573518
57,1033.86315486,0.62280179
58,1033.24714417,0.61601070
59,1032.64356252,0.60358164
60,1032.05896781,0.58459472
61,1031.50002090,0.55894690
62,1030.97276615,0.52725475
63,1030.48205314,0.49071301
64,1030.03113079,0.45092236
65,1029.62142903,0.40970175
66,1029.25252771,0.36890132
67,1028.92229618,0.33023153
68,1028.62717325,0.29512293
69,1028.36254470,0.26462855
70,1028.12316844,0.23937627
71,1027.90359595,0.21957249
72,1027.69854570,0.20505025
73,1027.50319705,0.19534865
74,1027.31339004,0.18980701
75,1027.12573239,0.18765765
76,1026.93762674,0.18810566
77,1026.74723738,0.19038936
78,1026.55341700,0.19382038
79,1026.35561100,0.19780600
80,1026.15375323,0.20185777
81,1025.94816211,0.20559111
82,1025.73944277,0.20871934
83,1025.52839776,0.21104500
84,1025.31594778,0.21244998
85,1025.10306240,0.21288538
86,1024.89070110,0.21236131
87,1024.67976435,0.21093675
88,1024.47105500,0.20870935
89,1024.26524986,0.20580515
90,1024.06288145,0.20236840
91,1023.86432980,0.19855165
92,1023.66982342,0.19450639
93,1023.47944866,0.19037476
94,1023.29316608,0.18628258
95,1023.11083205,0.18233403
96,1022.93222382,0.17860822
97,1022.75706606,0.17515776
98,1022.58505691,0.17200915
99,1022.41589194,0.16916497
100,1022.24928460,0.16660734
101,1022.08498209,0.16430251
102,1021.92277626,0.16220583
103,1021.76250929,0.16026697
104,1021.60407454,0.15843474
105,1021.44741326,0.15666128
106,1021.29250791,0.15490535
107,1021.13937332,0.15313460
108,1020.98804661,0.15132670
109,1020.83857707,0.14946955
110,1020.69101664,0.14756043
111,1020.54541193,0.14560470
112,1020.40179811,0.14361383
113,1020.26019476,0.14160334
114,1020.12060403,0.13959073
115,1019.98301047,0.13759356
116,1019.84738262,0.13562785
117,1019.71367562,0.13370700
118,1019.58183459,0.13184103
119,1019.45179831,0.13003628
120,1019.32350273,0.12829558
121,1019.19688414,0.12661859
122,1019.07188173,0.12500241
123,1018.94843944,0.12344229
124,1018.82650704,0.12193239
125,1018.70604063,0.12046641
126,1018.58700244,0.11903819
127,1018.46936028,0.11764216
128,1018.35308667,0.11627361
129,1018.23815780,0.11492888
130,1018.12455242,0.11360537
131,1018.01225090,0.11230153
132,1017.90123423,0.11101666
133,1017.79148339,0.10975084
134,1017.68297872,0.10850468
135,1017.57569953,0.10727918
136,1017.46962394,0.10607560
137,1017.36472866,0.10489528
138,1017.26098909,0.10373957
139,1017.15837934,0.10260975
140,1017.05687239,0.10150695
141,1016.95644024,0.10043214
142,1016.85705414,0.09938610
143,1016.75868476,0.09836939
144,1016.66130238,0.09738237
145,1016.56487715,0.09642523
146,1016.46937920,0.09549796
147,1016.37477880,0.09460040
148,1016.28104650,0.09373229
149,1016.18815321,0.09289329
150,1016.09607020,0.09208301
151,1016.00476916,0.09130105
152,1015.91422210,0.09054705
153,1015.82440139,0.08982071
154,1015.73527959,0.08912180
155,1015.64682941,0.08845018
156,1015.55902360,0.08780581
157,1015.47183489,0.08718870
158,1015.38523593,0.08659896
159,1015.29919921,0.08603672
160,1015.21369707,0.08550214
161,1015.12870170,0.08499536
162,1015.04418519,0.08451651
