Iteration,Cost,Cost Diff
1,28803.75713227,2241.10322920
2,26662.48406924,2141.27306302
3,24621.13283712,2041.35123212
4,22678.66414118,1942.46869594
5,20834.23782412,1844.42631706
6,19087.56957536,1746.66824876
7,17438.56441423,1649.00516113
8,15886.91388911,1551.65052512
9,14431.93541381,1454.97847530
10,13072.52573132,1359.40968249
11,11807.14849680,1265.37723452
12,10633.85042043,1173.29807637
13,9550.30057386,1083.54984656
14,8553.84117380,996.45940006
15,7641.53822114,912.30295266
16,6810.22434840,831.31387274
17,6056.53192945,753.69241894
18,5376.91894436,679.61298509
19,4767.69157483,609.22736954
20,4225.02647364,542.66510118
21,3744.99381785,480.03265580
22,3323.58109898,421.41271886
23,2956.71744152,366.86365747
24,2640.29846979,316.41897173
25,2370.21184628,270.08662351
26,2142.36356307,227.84828321
27,1952.70501762,189.65854545
28,1797.26086249,155.44415512
29,1672.15750017,125.10336233
30,1573.65179192,98.50570825
31,1498.15913926,75.49265266
32,1442.27990239,55.87923687
33,1402.82328822,39.45661418
34,1376.82809679,25.99519143
35,1361.57983728,15.24825951
36,1354.62376509,6.95607219
37,1353.77345118,0.85031391
38,1357.11460924,-3.34115806
39,1363.00408669,-5.88947746
40,1370.06416012,-7.06007342
41,1377.17248775,-7.10832763
42,1383.44813995,-6.27565220
43,1388.23404949,-4.78590955
44,1391.07621968,-2.84217019
45,1391.70027546,-0.62405578
46,1389.98628196,1.71399350
47,1385.94293055,4.04335141
48,1379.68216569,6.26076486
49,1371.39518823,8.28697746
50,1361.33057749,10.06461073
51,1349.77502938,11.55554811
52,1337.03691633,12.73811305
53,1323.43257190,13.60434443
54,1309.27495254,14.15761937
55,1294.86420348,14.41074906
56,1280.47969779,14.38450570
57,1266.37330425,14.10639354
58,1252.76388288,13.60942137
59,1239.83318974,12.93069314
60,1227.72342018,12.10976956
61,1216.53652844,11.18689175
62,1206.33529366,10.20123478
63,1197.14593491,9.18935874
64,1188.96196343,8.18397149
65,1181.74891254,7.21305089
66,1175.44958950,6.29932303
67,1169.98952629,5.46006321
68,1165.28235183,4.70717446
69,1161.23485662,4.04749521
70,1157.75156804,3.48328858
71,1154.73869970,3.01286834
72,1152.10738122,2.63131849
73,1149.77611781,2.33126341
74,1147.67247367,2.10364413
75,1145.73401790,1.93845578
76,1143.90861330,1.82540460
77,1142.15416150,1.75445179
78,1140.43793744,1.71622406
79,1138.73565137,1.70228607
80,1137.03036735,1.70528403
81,1135.31138629,1.71898105
82,1133.57317457,1.73821172
83,1131.81438874,1.75878583
84,1130.03701924,1.77736951
85,1128.24565254,1.79136670
86,1126.44683597,1.79881657
87,1124.64852125,1.79831473
88,1122.85956286,1.78895838
89,1121.08925245,1.77031041
90,1119.34687910,1.74237335
91,1117.64131552,1.70556358
92,1115.98063884,1.66067668
93,1114.37180146,1.60883738
94,1112.82037020,1.55143126
95,1111.33035081,1.49001939
96,1109.90410917,1.42624164
97,1108.54239228,1.36171690
98,1107.24444179,1.29795049
99,1106.00818365,1.23625813
100,1104.83047039,1.17771327
101,1103.70734959,1.12312079
102,1102.63433362,1.07301597
103,1101.60664977,1.02768385
104,1100.61945714,0.98719262
105,1099.66802323,0.95143392
106,1098.74785891,0.92016431
