Iteration,Cost,Cost Diff
1,21288.68266115,2772.38187172
2,18732.01119505,2556.67146610
3,16392.68059636,2339.33059869
4,14270.54581819,2122.13477816
5,12363.54543683,1907.00038136
6,10667.60189738,1695.94353945
7,9176.60051428,1491.00138310
8,7882.45234832,1294.14816597
9,6775.21284630,1107.23950202
10,5843.23439022,931.97845608
11,5073.35864426,769.87574596
12,4451.15828172,622.20036254
13,3961.21784877,489.94043295
14,3587.44197670,373.77587207
15,3313.39083479,274.05114191
16,3122.63896620,190.75186859
17,2999.14385266,123.49511354
18,2927.60711876,71.53673390
19,2893.81153369,33.79558507
20,2884.91675661,8.89477708
21,2889.69690759,-4.78015098
22,2898.70680502,-9.00989743
23,2904.37071815,-5.66391314
24,2900.99383756,3.37688060
25,2884.70080112,16.29303644
26,2853.30874681,31.39205431
27,2806.14530260,47.16344420
28,2743.82439895,62.32090366
29,2667.99435352,75.83004543
30,2581.07313028,86.92122324
31,2485.98499006,95.08814022
32,2385.91104420,100.07394586
33,2284.06378715,101.84725704
34,2183.49294149,100.57084566
35,2086.92730480,96.56563669
36,1996.65500332,90.27230148
37,1914.44271088,82.21229244
38,1841.49293184,72.94977904
39,1778.43725920,63.05567263
40,1725.36248416,53.07477505
41,1681.86545318,43.49703098
42,1647.13158380,34.73386938
43,1620.03095580,27.10062800
44,1599.22496898,20.80598682
45,1583.27587180,15.94909718
46,1570.75125326,12.52461854
47,1560.31608070,10.43517256
48,1550.80617777,9.50990293
49,1541.27909687,9.52708090
50,1531.04087114,10.23822573
51,1519.64971477,11.39115637
52,1506.89994180,12.74977297
53,1492.79086380,14.10907800
54,1477.48606291,15.30480088
55,1461.26826803,16.21779488
56,1444.49428796,16.77398007
57,1427.55334860,16.94093937
58,1410.83101206,16.72233653
59,1394.67983450,16.15117756
60,1379.39716263,15.28267188
61,1365.20999702,14.18716561
62,1352.26660480,12.94339221
63,1340.63444535,11.63215945
64,1330.30387668,10.33056867
65,1321.19696371,9.10691297
66,1313.18048725,8.01647646
67,1306.08198200,7.09850526
68,1299.70737720,6.37460480
69,1293.85865503,5.84872217
70,1288.34994589,5.50870914
71,1283.02067983,5.32926606
72,1277.74479415,5.27588568
73,1272.43550313,5.30929102
74,1267.04568057,5.38982256
75,1261.56439990,5.48128067
76,1256.01054608,5.55385382
77,1250.42461628,5.58592980
78,1244.85985640,5.56475988
79,1239.37376206,5.48609434
