Iteration,Cost,Cost Diff
1,1667.65406555,14.67310328
2,1653.15835978,14.49570577
3,1638.84333894,14.31502084
4,1624.71205881,14.13128013
5,1610.76726693,13.94479188
6,1597.01130882,13.75595811
7,1583.44601985,13.56528897
8,1570.07261287,13.37340698
9,1556.89158310,13.18102977
10,1543.90266423,12.98891887
11,1531.10487597,12.79778826
12,1518.49669184,12.60818413
13,1506.07632022,12.42037161
14,1493.84204290,12.23427733
15,1481.79252250,12.04952040
16,1469.92699969,11.86552280
17,1458.24534632,11.68165338
18,1446.74799196,11.49735436
19,1435.43577001,11.31222195
20,1424.30973043,11.12603958
21,1413.37095253,10.93877790
22,1402.62037532,10.75057721
23,1392.05865265,10.56172267
24,1381.68603650,10.37261615
25,1371.50229292,10.18374358
26,1361.50665777,9.99563515
27,1351.69784128,9.80881650
28,1342.07408818,9.62375310
29,1332.63329236,9.44079582
30,1323.37315227,9.26014010
31,1314.29134097,9.08181129
32,1305.38565825,8.90568272
33,1296.65413532,8.73152293
34,1288.09507540,8.55905992
35,1279.70702887,8.38804653
36,1271.48871539,8.21831348
37,1263.43891367,8.04980172
38,1255.55634276,7.88257092
39,1247.83955886,7.71678389
40,1240.28688955,7.55266932
41,1232.89642169,7.39046786
42,1225.66605058,7.23037111
43,1218.59358343,7.07246715
44,1211.67687557,6.91670786
45,1204.91396651,6.76290906
46,1198.30318164,6.61078487
47,1191.84317535,6.46000629
48,1185.53290894,6.31026642
49,1179.37157573,6.16133320
50,1173.35850023,6.01307550
51,1167.49304452,5.86545571
52,1161.77455281,5.71849171
53,1156.20235311,5.57219971
54,1150.77581576,5.42653735
55,1145.49444772,5.28136804
56,1140.35798598,5.13646174
57,1135.36645253,4.99153345
58,1130.52014691,4.84630562
59,1125.81957622,4.70057068
60,1121.26534518,4.55423104
61,1116.85804179,4.40730339
62,1112.59815259,4.25988920
63,1108.48602565,4.11212694
64,1104.52187634,3.96414932
65,1100.70581056,3.81606578
66,1097.03783257,3.66797799
67,1093.51781332,3.52001925
68,1090.14541646,3.37239686
69,1086.92000004,3.22541642
70,1083.84052351,3.07947653
71,1080.90548608,2.93503743
72,1078.11290762,2.79257845
73,1075.46034546,2.65256216
74,1072.94492829,2.51541717
75,1070.56338820,2.38154010
76,1068.31208076,2.25130744
77,1066.18699604,2.12508471
78,1064.18377179,2.00322426
79,1062.29772063,1.88605116
80,1060.52387753,1.77384309
81,1058.85706473,1.66681280
82,1057.29196526,1.56509948
83,1055.82319470,1.46877056
84,1054.44536364,1.37783106
85,1053.15312823,1.29223541
86,1051.94123076,1.21189746
87,1050.80453387,1.13669690
88,1049.73805131,1.06648256
89,1048.73697672,1.00107459
90,1047.79670927,0.94026745
91,1046.91287459,0.88383468
92,1046.08133927,0.83153532
93,1045.29821835,0.78312092
94,1044.55987630,0.73834205
95,1043.86292299,0.69695332
96,1043.20420623,0.65871675
97,1042.58080257,0.62340366
98,1041.99000709,0.59079548
99,1041.42932288,0.56068421
100,1040.89645017,0.53287270
101,1040.38927513,0.50717504
102,1039.90585818,0.48341695
103,1039.44442206,0.46143612
104,1039.00333975,0.44108231
105,1038.58112257,0.42221718
106,1038.17640875,0.40471382
107,1037.78795267,0.38845608
108,1037.41461490,0.37333776
109,1037.05535312,0.35926179
110,1036.70921367,0.34613945
111,1036.37532399,0.33388968
112,1036.05288550,0.32243849
113,1035.74116712,0.31171838
114,1035.43949923,0.30166789
115,1035.14726809,0.29223114
116,1034.86391074,0.28335735
117,1034.58891031,0.27500043
118,1034.32179176,0.26711855
119,1034.06211806,0.25967370
120,1033.80948673,0.25263133
121,1033.56352671,0.24596002
122,1033.32389554,0.23963116
123,1033.09027689,0.23361866
124,1032.86237815,0.22789873
125,1032.63992846,0.22244970
126,1032.42267670,0.21725176
127,1032.21038982,0.21228687
128,1032.00285127,0.20753856
129,1031.79985950,0.20299176
130,1031.60122676,0.19863274
131,1031.40677783,0.19444893
132,1031.21634903,0.19042880
133,1031.02978721,0.18656182
134,1030.84694891,0.18283830
135,1030.66769957,0.17924934
136,1030.49191280,0.17578678
137,1030.31946972,0.17244308
138,1030.15025840,0.16921132
139,1029.98417330,0.16608510
140,1029.82111478,0.16305852
141,1029.66098863,0.16012615
142,1029.50370569,0.15728294
143,1029.34918145,0.15452424
144,1029.19733571,0.15184574
145,1029.04809228,0.14924344
146,1028.90137866,0.14671362
147,1028.75712583,0.14425283
148,1028.61526797,0.14185786
149,1028.47574225,0.13952572
150,1028.33848862,0.13725362
151,1028.20344967,0.13503896
152,1028.07057039,0.13287928
153,1027.93979806,0.13077232
154,1027.81108212,0.12871595
155,1027.68437398,0.12670814
156,1027.55962695,0.12474703
157,1027.43679612,0.12283084
158,1027.31583821,0.12095790
159,1027.19671156,0.11912666
160,1027.07937594,0.11733562
161,1026.96379254,0.11558340
162,1026.84992388,0.11386866
163,1026.73773372,0.11219016
164,1026.62718701,0.11054671
165,1026.51824982,0.10893719
166,1026.41088928,0.10736054
167,1026.30507356,0.10581572
168,1026.20077177,0.10430179
169,1026.09795397,0.10281781
170,1025.99659106,0.10136291
171,1025.89665480,0.09993625
172,1025.79811776,0.09853704
173,1025.70095326,0.09716450
174,1025.60513535,0.09581791
175,1025.51063879,0.09449656
176,1025.41743901,0.09319978
177,1025.32551209,0.09192692
178,1025.23483471,0.09067737
179,1025.14538419,0.08945053
180,1025.05713837,0.08824582
181,1024.97007568,0.08706269
182,1024.88417506,0.08590062
183,1024.79941597,0.08475909
184,1024.71577837,0.08363760
185,1024.63324269,0.08253568
186,1024.55178982,0.08145287
187,1024.47140110,0.08038872
188,1024.39205829,0.07934281
189,1024.31374357,0.07831472
190,1024.23643953,0.07730404
191,1024.16012916,0.07631038
192,1024.08479579,0.07533337
193,1024.01042314,0.07437264
194,1023.93699531,0.07342784
195,1023.86449669,0.07249861
196,1023.79291206,0.07158464
197,1023.72222648,0.07068558
198,1023.65242535,0.06980113
199,1023.58349437,0.06893098
200,1023.51541954,0.06807483
201,1023.44818715,0.06723239
202,1023.38178377,0.06640338
203,1023.31619624,0.06558753
204,1023.25141167,0.06478457
205,1023.18741744,0.06399423
206,1023.12420117,0.06321627
207,1023.06175073,0.06245044
208,1023.00005422,0.06169650
