Iteration,Cost,Cost Diff
1,2759.73377126,405.23846744
2,2414.38856646,345.34520480
3,2128.13541256,286.25315390
4,1900.19741258,227.93799998
5,1727.95862637,172.23878620
6,1606.47288514,121.48574124
7,1528.66564054,77.80724459
8,1485.82804396,42.83759658
9,1468.26259213,17.56545184
10,1466.16264736,2.09994477
11,1470.59577120,-4.43312384
12,1474.35673826,-3.76096706
13,1472.48678804,1.86995022
14,1462.37451398,10.11227406
15,1443.49659201,18.87792197
16,1416.93868517,26.55790684
17,1384.83774830,32.10093687
18,1349.84446276,34.99328554
19,1314.65944445,35.18501831
20,1281.66704211,32.99240234
21,1252.67597798,28.99106413
22,1228.77000973,23.90596825
23,1210.26752723,18.50248250
24,1196.78335175,13.48417549
25,1187.37950642,9.40384533
26,1180.78332052,6.59618589
27,1175.63596917,5.14735135
28,1170.71986158,4.91610759
29,1165.12071013,5.59915145
30,1158.30731612,6.81339402
31,1150.13489960,8.17241651
32,1140.78827598,9.34662363
33,1130.68537463,10.10290134
34,1120.36295608,10.32241855
35,1110.36506679,9.99788930
36,1101.15084853,9.21421825
37,1093.03248083,8.11836771
38,1086.14741629,6.88506454
39,1080.46300953,5.68440676
40,1075.80716791,4.65584161
41,1071.91606179,3.89110613
42,1068.48896451,3.42709728
43,1065.24066366,3.24830085
44,1061.94345874,3.29720491
45,1058.45336251,3.49009623
46,1054.71836446,3.73499806
47,1050.76992279,3.94844167
48,1046.70161652,4.06830627
49,1042.64062933,4.06098718
50,1038.71821473,3.92241460
51,1035.04455913,3.67365560
52,1031.69181907,3.35274006
53,1028.68701114,3.00480793
54,1026.01435801,2.67265313
55,1023.62503705,2.38932096
56,1021.45128077,2.17375628
57,1019.42150870,2.02977207
58,1017.47354392,1.94796478
59,1015.56380169,1.90974223
60,1013.67140636,1.89239533
61,1011.79727476,1.87413160
62,1009.95911410,1.83816066
63,1008.18389233,1.77522177
64,1006.49958782,1.68430451
65,1004.92791769,1.57167013
66,1003.47934454,1.44857315
67,1002.15107241,1.32827213
68,1000.92808744,1.22298497
69,999.78669713,1.14139031
70,998.69957714,1.08711999
71,997.64111762,1.05845951
72,996.59190319,1.04921443
73,995.54144269,1.05046051
74,994.48871939,1.05272330
75,993.44065173,1.04806766
76,992.40901761,1.03163412
77,991.40669705,1.00232057
78,990.44416611,0.96253094
79,989.52702657,0.91713954
80,988.65503280,0.87199377
81,987.82267111,0.83236169
82,987.02096293,0.80170818
83,986.23989472,0.78106821
84,985.47078319,0.76911153
85,984.70797556,0.76280764
