Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,60665.01562690,31611.10970108,1.29835883,3.36316133
2,33273.77748515,27391.23814175,2.73014081,-1.43178198
3,12592.80996283,20680.96752232,4.19257441,-1.46243361
4,9688.44494392,2904.36501891,4.64848806,-0.45591365
5,9261.58748516,426.85745876,4.62876652,0.01972154
6,8904.04098232,357.54650284,4.48983623,0.13893029
7,8572.28248976,331.75849255,4.37391416,0.11592207
8,8247.66008949,324.62240028,4.27247041,0.10144375
9,7923.97831262,323.68177687,4.14846228,0.12400813
10,7574.56254801,349.41576461,4.01346883,0.13499345
11,7203.85215165,370.71039636,3.88650050,0.12696833
12,6800.43407347,403.41807818,3.77056825,0.11593225
13,6371.31249899,429.12157447,3.67104753,0.09952071
14,5899.22716014,472.08533886,3.52902584,0.14202169
15,5391.05637282,508.17078731,3.42559622,0.10342962
16,4867.09606431,523.96030851,3.29843934,0.12715688
17,4285.79366650,581.30239782,3.19631812,0.10212123
18,3706.33356989,579.46009660,3.08058327,0.11573485
19,3127.24217374,579.09139615,2.97275424,0.10782903
20,2593.37599350,533.86618024,2.87707104,0.09568320
21,2107.43188317,485.94411033,2.77477958,0.10229146
22,1687.41559566,420.01628751,2.68187255,0.09290703
23,1358.08732228,329.32827338,2.59842380,0.08344875
24,1118.80894116,239.27838112,2.50864084,0.08978296
25,936.67651043,182.13243073,2.42632065,0.08232019
26,822.58036898,114.09614145,2.35933823,0.06698242
27,738.42739020,84.15297879,2.29328106,0.06605717
28,681.84700969,56.58038051,2.23327378,0.06000728
29,643.38627914,38.46073055,2.17727732,0.05599646
30,616.21387781,27.17240134,2.13339357,0.04388375
31,593.55647970,22.65739810,2.08824995,0.04514362
32,578.14243206,15.41404765,2.05411416,0.03413578
33,562.75693042,15.38550164,2.01570932,0.03840485
34,549.46733807,13.28959235,1.98219002,0.03351929
35,537.68621317,11.78112489,1.94525689,0.03693313
36,528.35088100,9.33533218,1.92117491,0.02408198
37,517.97820345,10.37267755,1.89320281,0.02797210
38,508.77165601,9.20654743,1.86692773,0.02627508
39,502.32140210,6.45025391,1.84074371,0.02618402
40,492.57260193,9.74880017,1.82575296,0.01499075
41,485.60580298,6.96679895,1.80459310,0.02115986
42,478.63446202,6.97134096,1.78307493,0.02151817
43,471.81356946,6.82089256,1.76676267,0.01631226
44,465.22075372,6.59281575,1.74863025,0.01813242
45,458.90122578,6.31952794,1.73849344,0.01013681
46,453.32420775,5.57701802,1.71934756,0.01914587
47,447.77464908,5.54955867,1.70989134,0.00945623
48,443.49914360,4.27550549,1.69508010,0.01481124
49,437.80725061,5.69189299,1.68474720,0.01033290
50,433.76022205,4.04702856,1.67619977,0.00854743
51,429.85843694,3.90178511,1.66610255,0.01009722
52,424.51928786,5.33914907,1.65446905,0.01163350
53,420.96433426,3.55495360,1.64448024,0.00998881
54,416.92939115,4.03494311,1.63664058,0.00783966
55,412.95540793,3.97398322,1.63013215,0.00650843
56,412.64357051,0.31183742,1.62490100,0.00523116
57,407.09364960,5.54992091,1.61453075,0.01037025
58,404.08263701,3.01101259,1.60682450,0.00770625
59,400.29341585,3.78922117,1.60398929,0.00283520
60,397.32005526,2.97336058,1.59773185,0.00625744
61,394.43163974,2.88841553,1.59399916,0.00373269
62,391.36791724,3.06372250,1.58721347,0.00678569
63,391.47789028,-0.10997305,1.57831545,0.00889802
64,385.85053613,5.62735416,1.57807344,0.00024201
65,383.47673663,2.37379950,1.57406326,0.00401019
66,381.26552788,2.21120875,1.57021206,0.00385120
67,378.56670355,2.69882432,1.56595289,0.00425916
68,376.33255260,2.23415095,1.56296415,0.00298874
69,374.30206355,2.03048906,1.56144610,0.00151805
70,372.33767871,1.96438484,1.55926881,0.00217729
71,370.32309719,2.01458152,1.55634037,0.00292843
72,368.23017522,2.09292197,1.55247386,0.00386651
73,367.31172432,0.91845089,1.54829437,0.00417949
74,364.33401882,2.97770550,1.54648234,0.00181203
75,362.96402939,1.36998944,1.54421835,0.00226399
76,361.11813576,1.84589362,1.53835473,0.00586362
77,359.81207531,1.30606046,1.53842842,-0.00007369
78,357.67324884,2.13882646,1.53759093,0.00083749
79,356.57927460,1.09397425,1.53558802,0.00200291
80,354.88096740,1.69830720,1.53169944,0.00388858
81,353.72305313,1.15791427,1.53454081,-0.00284137
82,353.26836614,0.45468699,1.53357847,0.00096234
83,349.76393031,3.50443583,1.53045359,0.00312488
84,348.37430786,1.38962245,1.52926222,0.00119137
85,346.98680931,1.38749855,1.52781964,0.00144258
86,345.99536322,0.99144609,1.52464000,0.00317965
87,345.26646013,0.72890309,1.52606095,-0.00142095
88,346.66784872,-1.40138859,1.52865851,-0.00259756
89,341.85613972,4.81170900,1.52331517,0.00534333
90,341.05543311,0.80070661,1.52284544,0.00046974
91,339.24920639,1.80622673,1.52134986,0.00149558
92,338.17317529,1.07603110,1.52002629,0.00132357
93,338.00756526,0.16561003,1.51638469,0.00364160
94,336.69692583,1.31063943,1.51804666,-0.00166198
95,334.80227514,1.89465069,1.51628397,0.00176269
96,334.33609234,0.46618279,1.51782092,-0.00153694
97,332.56269836,1.77339399,1.51675019,0.00107073
98,331.85163487,0.71106349,1.51802275,-0.00127257
99,330.94909483,0.90254004,1.51416539,0.00385736
100,329.45477324,1.49432159,1.51360873,0.00055666
101,328.14687744,1.30789580,1.51406542,-0.00045669
102,327.88016931,0.26670813,1.51171090,0.00235453
103,326.18490392,1.69526539,1.51277773,-0.00106683
104,327.01271418,-0.82781026,1.51166926,0.00110847
105,324.36116061,2.65155357,1.51239842,-0.00072915
106,324.10373078,0.25742983,1.51171992,0.00067850
107,322.47068398,1.63304680,1.51139118,0.00032874
108,321.69502025,0.77566372,1.51072189,0.00066930
