Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,62030.04506246,12347.86266921,1.95254707,-0.13129743
2,33771.48267399,28258.56238847,3.07323625,-1.12068919
3,13081.32364032,20690.15903367,4.51689761,-1.44366135
4,8760.72064685,4320.60299346,4.84651241,-0.32961481
5,6310.73943701,2449.98120984,4.89118383,-0.04467142
6,5025.23171265,1285.50772436,4.98031127,-0.08912744
7,4301.88160976,723.35010289,5.00739929,-0.02708802
8,3785.44747908,516.43413068,5.01105195,-0.00365267
9,3423.67980609,361.76767299,4.99299259,0.01805937
10,3136.49386562,287.18594047,4.97765054,0.01534205
11,2938.20291675,198.29094886,4.95331388,0.02433666
12,2795.53594489,142.66697187,4.92362906,0.02968482
13,2692.71772685,102.81821804,4.88457956,0.03904950
14,2612.03474760,80.68297925,4.84570164,0.03887792
15,2552.51057743,59.52417017,4.82629685,0.01940479
16,2507.71411640,44.79646103,4.78894876,0.03734810
17,2465.42066530,42.29345109,4.75401548,0.03493328
18,2438.10817457,27.31249074,4.71956901,0.03444647
19,2401.84341899,36.26475558,4.70081537,0.01875365
20,2372.65880810,29.18461089,4.66111922,0.03969615
21,2342.28737171,30.37143639,4.64027101,0.02084820
22,2326.31064094,15.97673077,4.60856418,0.03170683
23,2293.79050982,32.52013112,4.57925860,0.02930558
24,2265.96531362,27.82519621,4.54846587,0.03079274
25,2242.12693772,23.83837590,4.52191773,0.02654813
26,2226.37185339,15.75508433,4.49081348,0.03110425
27,2197.86552915,28.50632424,4.46606401,0.02474947
28,2178.70830878,19.15722038,4.43175765,0.03430637
29,2148.42795106,30.28035771,4.41078402,0.02097363
30,2132.73641786,15.69153320,4.37821325,0.03257077
31,2104.50919816,28.22721969,4.36516715,0.01304610
32,2083.91010138,20.59909678,4.33757480,0.02759235
33,2065.78777879,18.12232259,4.30653564,0.03103916
34,2041.40290838,24.38487040,4.28617465,0.02036099
35,2029.64906102,11.75384736,4.25256882,0.03360583
36,2005.14194718,24.50711385,4.22712222,0.02544661
37,2005.43964243,-0.29769526,4.19626379,0.03085843
38,1965.66633285,39.77330958,4.18518184,0.01108195
39,1950.99899415,14.66733871,4.16254236,0.02263948
40,1926.11758472,24.88140943,4.13097152,0.03157084
41,1909.52666805,16.59091667,4.10661296,0.02435857
42,1891.70408333,17.82258472,4.08427627,0.02233669
43,1880.69392157,11.01016176,4.06209806,0.02217821
44,1857.89916643,22.79475514,4.03892061,0.02317745
45,1840.51582193,17.38334450,4.01526068,0.02365994
