Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,68366.27448455,48181.61515044,2.65428290,4.20927539
2,38310.82079188,30055.45369267,2.49894178,0.15534112
3,10980.79184675,27330.02894513,4.16804365,-1.66910186
4,6189.36247677,4791.42936998,4.87144256,-0.70339891
5,5076.10648451,1113.25599227,4.78394011,0.08750245
6,4073.76044150,1002.34604300,4.66542833,0.11851178
7,3205.81239937,867.94804213,4.54651613,0.11891219
8,2589.87646634,615.93593303,4.43044414,0.11607199
9,2176.26083240,413.61563394,4.30671697,0.12372717
10,1947.67402037,228.58681203,4.19100118,0.11571579
11,1779.41437424,168.25964613,4.08130915,0.10969203
12,1683.96993598,95.44443826,3.98889171,0.09241744
13,1618.34528190,65.62465407,3.89497057,0.09392114
14,1567.05621071,51.28907120,3.80978237,0.08518821
15,1521.27675237,45.77945834,3.72703789,0.08274447
16,1481.18987740,40.08687497,3.64913086,0.07790704
17,1447.81776008,33.37211732,3.58403767,0.06509318
18,1410.69185253,37.12590754,3.51143782,0.07259986
19,1379.35164023,31.34021230,3.44503712,0.06640070
20,1347.19994035,32.15169988,3.37816069,0.06687643
21,1321.77324117,25.42669917,3.32134338,0.05681730
22,1296.88387016,24.88937101,3.25344564,0.06789774
23,1263.41924938,33.46462078,3.19848772,0.05495792
24,1238.27316553,25.14608385,3.15308921,0.04539850
25,1212.69376273,25.57940280,3.10093767,0.05215154
26,1188.19853824,24.49522449,3.04932783,0.05160984
27,1164.28499947,23.91353877,2.99534397,0.05398386
28,1146.54175446,17.74324500,2.93804398,0.05729999
29,1123.89123085,22.65052361,2.89831727,0.03972671
30,1101.46416313,22.42706772,2.84987901,0.04843827
31,1083.37568450,18.08847863,2.80360392,0.04627508
32,1062.83405396,20.54163053,2.77310706,0.03049686
33,1042.81904222,20.01501174,2.73158457,0.04152249
34,1025.02798200,17.79106023,2.69803671,0.03354786
35,1008.71315699,16.31482501,2.65803355,0.04000316
36,1005.76950350,2.94365348,2.61660322,0.04143033
37,974.58436040,31.18514311,2.57803866,0.03856456
38,959.60051084,14.98384956,2.55084982,0.02718884
39,944.05009443,15.55041641,2.51538304,0.03546677
40,928.25654625,15.79354818,2.48518190,0.03020115
41,913.87481766,14.38172859,2.45199625,0.03318565
42,903.05321780,10.82159986,2.41446703,0.03752922
43,887.31940390,15.73381390,2.39344516,0.02102187
44,875.81850757,11.50089633,2.37097358,0.02247158
45,863.57415399,12.24435358,2.34088936,0.03008422
46,848.69579022,14.87836377,2.31081178,0.03007758
47,840.64205160,8.05373862,2.28192922,0.02888257
48,826.42451880,14.21753280,2.26012121,0.02180800
