Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,56766.29827724,20118.09694625,1.64631907,0.00196737
2,25732.27383989,31034.02443735,2.82203450,-1.17571543
3,14114.09424047,11618.17959942,3.90170813,-1.07967363
4,11326.64974803,2787.44449244,4.21751928,-0.31581115
5,9485.63163919,1841.01810884,4.47738364,-0.25986436
6,8177.00378572,1308.62785348,4.67029859,-0.19291495
7,7133.67981161,1043.32397411,4.79180765,-0.12150906
8,6228.46910140,905.21071021,4.85431878,-0.06251113
9,5365.75964315,862.70945825,4.89944338,-0.04512460
10,4634.80248222,730.95716093,4.89828379,0.00115960
11,4012.88355522,621.91892700,4.88628915,0.01199464
12,3506.23206361,506.65149161,4.86380969,0.02247946
13,3091.34071752,414.89134609,4.80537375,0.05843594
14,2814.10447888,277.23623864,4.76953534,0.03583841
15,2614.25068287,199.85379601,4.73077103,0.03876432
16,2482.73439301,131.51628985,4.68845482,0.04231621
17,2395.15528912,87.57910389,4.64486187,0.04359295
18,2336.39482480,58.76046433,4.60574867,0.03911320
19,2292.98756049,43.40726430,4.58105426,0.02469441
20,2259.64015172,33.34740877,4.55388279,0.02717147
21,2228.19044235,31.44970937,4.52109723,0.03278556
22,2207.69847336,20.49196899,4.50600123,0.01509600
23,2182.40645178,25.29202158,4.46303036,0.04297086
24,2161.82410701,20.58234478,4.44868801,0.01434235
25,2142.29717232,19.52693469,4.41706586,0.03162216
26,2123.12779720,19.16937512,4.39083325,0.02623260
27,2102.32881435,20.79898284,4.37746812,0.01336513
28,2082.86480481,19.46400954,4.34775264,0.02971547
29,2066.03654243,16.82826238,4.33449786,0.01325478
30,2047.86996346,18.16657896,4.30877294,0.02572492
31,2037.21445271,10.65551075,4.27833057,0.03044237
32,2018.39200286,18.82244986,4.26757467,0.01075590
33,1999.38373789,19.00826497,4.24284780,0.02472688
34,1982.19781955,17.18591834,4.22769820,0.01514959
35,1972.23047508,9.96734447,4.21094322,0.01675498
36,1948.10127324,24.12920184,4.18451780,0.02642542
37,1932.31201111,15.78926213,4.17419872,0.01031908
38,1917.79762560,14.51438551,4.15508064,0.01911808
39,1904.60446410,13.19316150,4.14465099,0.01042964
40,1900.39133782,4.21312628,4.11967861,0.02497238
41,1876.49445994,23.89687788,4.11215004,0.00752857
42,1864.73842330,11.75603665,4.10302558,0.00912447
43,1844.95696280,19.78146050,4.07431854,0.02870704
44,1833.78152570,11.17543709,4.06106570,0.01325283
45,1817.35357104,16.42795466,4.04857744,0.01248826
46,1802.42576027,14.92781077,4.02940491,0.01917253
47,1788.66276452,13.76299576,4.00894225,0.02046265
48,1775.16790230,13.49486221,4.00364002,0.00530224
49,1762.37213496,12.79576734,3.98144895,0.02219107
50,1748.28084155,14.09129341,3.97027571,0.01117324
51,1736.17764565,12.10319590,3.95395004,0.01632567
52,1724.78040244,11.39724321,3.94699777,0.00695227
53,1709.63043985,15.14996259,3.92849322,0.01850455
54,1699.99366542,9.63677443,3.91897474,0.00951847
55,1687.55591354,12.43775187,3.89856544,0.02040931
56,1677.47533830,10.08057524,3.88200514,0.01656030
57,1663.22767349,14.24766482,3.86454211,0.01746303
58,1647.48371951,15.74395397,3.85409104,0.01045107
59,1645.62885751,1.85486200,3.84864253,0.00544851
60,1625.11236393,20.51649358,3.83088066,0.01776187
61,1611.90236136,13.21000257,3.81333157,0.01754909
62,1600.12379581,11.77856556,3.79913962,0.01419194
63,1586.58502219,13.53877362,3.78511532,0.01402430
64,1579.69086343,6.89415876,3.77827535,0.00683997
65,1566.63525753,13.05560590,3.75649384,0.02178150
66,1555.37021911,11.26503842,3.74462369,0.01187015
67,1544.44070402,10.92951509,3.73369266,0.01093103
68,1530.99536096,13.44534306,3.72248629,0.01120637
69,1522.70991779,8.28544317,3.70334700,0.01913929
70,1509.53829481,13.17162298,3.69187990,0.01146710
71,1497.51432577,12.02396905,3.68328488,0.00859502
72,1485.87141421,11.64291156,3.66568342,0.01760146
73,1476.39378717,9.47762705,3.65399649,0.01168693
74,1463.83892571,12.55486146,3.63970770,0.01428879
75,1456.15514688,7.68377882,3.62833978,0.01136792
76,1448.47369391,7.68145298,3.62186680,0.00647298
77,1435.65007056,12.82362335,3.59798026,0.02388654
78,1425.46362956,10.18644100,3.58994037,0.00803989
79,1414.06730951,11.39632005,3.57257870,0.01736167
80,1406.12386796,7.94344156,3.56502226,0.00755645
81,1397.16885967,8.95500828,3.54422228,0.02079998
82,1385.12043474,12.04842493,3.53918698,0.00503529
83,1374.70156732,10.41886742,3.52463561,0.01455138
84,1367.38228175,7.31928557,3.50554361,0.01909200
85,1352.74660579,14.63567596,3.49819974,0.00734387
86,1343.71776338,9.02884241,3.48186548,0.01633426
87,1336.50174769,7.21601568,3.47127306,0.01059242
88,1326.10762485,10.39412284,3.46225790,0.00901516
89,1317.69441436,8.41321050,3.44978572,0.01247218
90,1308.18792931,9.50648505,3.43523353,0.01455219
91,1301.30672117,6.88120814,3.41989413,0.01533941
92,1293.35261379,7.95410738,3.40545925,0.01443488
93,1281.68924004,11.66337376,3.40268648,0.00277277
94,1274.91979264,6.76944739,3.38677466,0.01591182
95,1263.04697277,11.87281987,3.37117244,0.01560222
96,1258.64759462,4.39937815,3.36715413,0.00401831
97,1250.69069442,7.95690020,3.33719860,0.02995554
98,1238.22285721,12.46783721,3.33881196,-0.00161336
99,1228.93051482,9.29234238,3.32386204,0.01494992
100,1220.15579846,8.77471637,3.31433434,0.00952770
101,1216.71099023,3.44480823,3.31005738,0.00427696
102,1207.55850102,9.15248921,3.28781585,0.02224153
103,1195.68434302,11.87415800,3.27851969,0.00929616
104,1190.16118673,5.52315629,3.26975786,0.00876183
105,1186.17092690,3.99025983,3.26171978,0.00803808
106,1171.88183237,14.28909453,3.24163415,0.02008563
107,1165.61795569,6.26387668,3.22662252,0.01501163
