Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,67727.03397722,42606.83240865,2.61073355,4.04699290
2,40797.19423691,26929.83974032,3.75346968,-1.14273613
3,16041.93057423,24755.26366268,5.57390310,-1.82043342
4,10149.19334120,5892.73723303,6.36192290,-0.78801980
5,8936.69796400,1212.49537720,6.30875418,0.05316872
6,8174.50871536,762.18924864,6.16860317,0.14015101
7,7546.44081071,628.06790465,6.07774375,0.09085941
8,6929.46111573,616.97969498,5.92683948,0.15090428
9,6303.62366828,625.83744745,5.80796432,0.11887516
10,5647.45611264,656.16755564,5.67020941,0.13775491
11,5013.74938481,633.70672783,5.52254109,0.14766832
12,4391.38878193,622.36060288,5.38412384,0.13841725
13,3809.02293153,582.36585039,5.22628919,0.15783465
14,3296.28799661,512.73493492,5.10266331,0.12362588
15,2880.01616200,416.27183461,4.95985300,0.14281031
16,2541.75822424,338.25793777,4.81590605,0.14394695
17,2287.10905527,254.64916897,4.70253419,0.11337186
18,2097.73600788,189.37304739,4.58503734,0.11749685
19,1947.27582858,150.46017930,4.47058421,0.11445313
20,1846.28150786,100.99432073,4.36752683,0.10305737
21,1751.01934442,95.26216344,4.26347221,0.10405462
22,1683.66040816,67.35893626,4.17131962,0.09215259
23,1630.13058154,53.52982662,4.09042750,0.08089212
24,1578.49336945,51.63721209,4.00157220,0.08885530
25,1532.94201111,45.55135834,3.92491391,0.07665830
26,1491.50442807,41.43758304,3.85019916,0.07471474
27,1458.62364552,32.88078255,3.77049656,0.07970260
28,1419.59436487,39.02928065,3.70435529,0.06614127
29,1382.95852317,36.63584169,3.63937634,0.06497895
30,1349.85765764,33.10086553,3.57580731,0.06356903
31,1320.19574417,29.66191347,3.50995462,0.06585269
32,1288.26566155,31.93008263,3.45186477,0.05808985
33,1259.43501975,28.83064180,3.39121149,0.06065328
34,1232.81677588,26.61824387,3.33943722,0.05177427
35,1205.55110416,27.26567172,3.27772849,0.06170873
36,1180.33994408,25.21116008,3.22101657,0.05671192
37,1163.43882446,16.90111962,3.17587333,0.04514324
38,1148.16065482,15.27816964,3.13140100,0.04447233
39,1108.60684209,39.55381273,3.06162824,0.06977276
40,1087.55769402,21.04914808,3.01396065,0.04766760
41,1067.04220155,20.51549247,2.96544251,0.04851813
42,1047.60652606,19.43567548,2.92325379,0.04218872
43,1029.41819716,18.18832891,2.88549773,0.03775607
44,1007.52954617,21.88865099,2.82608969,0.05940804
45,989.93591363,17.59363253,2.78938289,0.03670679
46,971.57459774,18.36131589,2.74947288,0.03991001
47,955.84781589,15.72678185,2.71002925,0.03944363
48,944.89288388,10.95493201,2.67684279,0.03318647
49,924.14289520,20.74998868,2.62591315,0.05092964
50,909.89380969,14.24908551,2.58554828,0.04036486
51,894.56307947,15.33073022,2.54757471,0.03797357
52,885.73760918,8.82547028,2.51180853,0.03576618
53,867.49948464,18.23812454,2.48388976,0.02791877
54,852.68492782,14.81455682,2.44677094,0.03711882
55,840.43255886,12.25236896,2.41187047,0.03490047
56,830.18848602,10.24407284,2.38881690,0.02305357
57,818.52494079,11.66354523,2.36028010,0.02853681
58,812.03885617,6.48608462,2.32914553,0.03113457
59,794.14568450,17.89317167,2.29298084,0.03616469
60,784.75702637,9.38865814,2.25545803,0.03752280
61,774.64937917,10.10764720,2.22901168,0.02644635
62,764.36174490,10.28763427,2.21834894,0.01066274
63,753.24494304,11.11680186,2.18415784,0.03419110
64,743.59749212,9.64745092,2.15544360,0.02871424
65,733.96409061,9.63340150,2.13668896,0.01875464
66,725.64243812,8.32165249,2.10814460,0.02854435
67,716.97635579,8.66608234,2.08908421,0.01906039
68,708.22042128,8.75593451,2.06509334,0.02399087
69,702.70656973,5.51385155,2.03868310,0.02641025
70,691.25851896,11.44805077,2.02072794,0.01795516
71,683.39487644,7.86364251,1.99614598,0.02458196
72,679.59183378,3.80304266,1.97944379,0.01670219
73,670.84976129,8.74207249,1.96628093,0.01316286
74,663.14165376,7.70810753,1.95143987,0.01484106
75,656.32248587,6.81916789,1.91817093,0.03326894
76,646.73861204,9.58387383,1.90921028,0.00896065
77,640.08008218,6.65852986,1.88709764,0.02211265
78,633.12209831,6.95798388,1.87420024,0.01289740
79,629.50121902,3.62087929,1.84883533,0.02536490
80,620.45709051,9.04412851,1.83967219,0.00916314
81,619.10944670,1.34764381,1.81776298,0.02190922
82,607.65046095,11.45898576,1.80858454,0.00917844
83,601.58215328,6.06830767,1.79784311,0.01074143
84,600.63039903,0.95175424,1.78554177,0.01230134
85,590.57102072,10.05937831,1.76315120,0.02239057
86,584.54747657,6.02354415,1.74984755,0.01330365
87,581.13692587,3.41055070,1.73452429,0.01532326
88,571.87834859,9.25857729,1.72764105,0.00688324
89,567.03347219,4.84487640,1.71044774,0.01719331
90,560.98442829,6.04904390,1.70236923,0.00807852
91,557.49030780,3.49412049,1.69011036,0.01225887
92,563.79520704,-6.30489925,1.69284513,-0.00273477
93,545.70211466,18.09309238,1.67181816,0.02102696
94,540.74598165,4.95613301,1.66086524,0.01095293
95,535.89636358,4.84961808,1.64321608,0.01764915
96,532.06850334,3.82786024,1.63287228,0.01034380
97,525.71088701,6.35761633,1.62868045,0.00419183
98,521.50994519,4.20094182,1.61668305,0.01199740
99,516.63428090,4.87566429,1.60843809,0.00824496
100,512.51589912,4.11838178,1.60080349,0.00763460
101,507.55204970,4.96384941,1.59261425,0.00818925
102,506.62586567,0.92618404,1.59269845,-0.00008420
103,504.61227969,2.01358598,1.57833695,0.01436150
104,494.93828190,9.67399779,1.56596584,0.01237111
105,493.86593928,1.07234262,1.56368483,0.00228101
106,489.95419687,3.91174240,1.55150373,0.01218110
107,483.42627611,6.52792077,1.54055924,0.01094449
108,479.35744130,4.06883480,1.53257882,0.00798042
109,476.35365325,3.00378805,1.52236295,0.01021587
110,471.33499637,5.01865689,1.52372643,-0.00136347
111,469.88693121,1.44806516,1.51498144,0.00874499
112,465.67684687,4.21008434,1.51435523,0.00062620
113,460.94704559,4.72980128,1.49745506,0.01690017
114,459.87556480,1.07148079,1.49439272,0.00306235
115,453.83374059,6.04182421,1.48739844,0.00699428
116,450.82905044,3.00469015,1.48514004,0.00225840
117,447.11573669,3.71331375,1.47198798,0.01315207
118,443.81805667,3.29768001,1.47027359,0.00171438
119,440.50653524,3.31152143,1.46101368,0.00925991
120,438.36208506,2.14445019,1.46163112,-0.00061745
121,434.31818816,4.04389690,1.45112414,0.01050699
122,433.08148481,1.23670335,1.44548064,0.00564349
123,428.71188191,4.36960291,1.44650920,-0.00102855
124,427.94699482,0.76488709,1.43568542,0.01082378
125,427.16947181,0.77752301,1.42676345,0.00892197
126,419.91413124,7.25534057,1.43242395,-0.00566050
127,418.48191912,1.43221212,1.42593793,0.00648602
128,414.85857771,3.62334141,1.41855141,0.00738652
129,411.65328187,3.20529584,1.41686492,0.00168649
130,410.84071525,0.81256662,1.40906784,0.00779708
131,408.23844883,2.60226643,1.40840521,0.00066263
132,405.32732692,2.91112190,1.40600759,0.00239762
133,402.29520069,3.03212623,1.39874953,0.00725806
134,400.35040546,1.94479523,1.39150123,0.00724830
135,397.53676553,2.81363993,1.38957637,0.00192486
136,395.41047348,2.12629206,1.39503644,-0.00546006
137,391.78958548,3.62088800,1.38275039,0.01228604
138,389.82115977,1.96842570,1.38661722,-0.00386683
139,387.02800516,2.79315462,1.37721714,0.00940008
140,385.99600695,1.03199821,1.37603534,0.00118180
141,382.89764752,3.09835942,1.37306449,0.00297085
142,381.57602053,1.32162699,1.36474583,0.00831866
143,380.54736714,1.02865339,1.36164120,0.00310463
144,378.27178271,2.27558444,1.36714653,-0.00550533
145,374.80241693,3.46936578,1.35947108,0.00767545
146,373.36993111,1.43248582,1.35742743,0.00204364
147,369.99804853,3.37188257,1.35439815,0.00302928
148,368.42879437,1.56925416,1.35096151,0.00343664
149,366.74157875,1.68721562,1.35294388,-0.00198237
150,364.55591336,2.18566539,1.35016640,0.00277749
151,362.04761175,2.50830161,1.34440575,0.00576065
152,360.70511198,1.34249977,1.33900802,0.00539773
153,358.36351380,2.34159818,1.34105455,-0.00204653
154,356.62426193,1.73925187,1.33901249,0.00204206
155,356.79931398,-0.17505205,1.33760281,0.00140968
156,353.12259162,3.67672236,1.33211764,0.00548517
157,352.57923970,0.54335192,1.33372068,-0.00160303
158,350.09402379,2.48521591,1.32863919,0.00508148
159,348.69983482,1.39418896,1.33125480,-0.00261560
160,347.39850756,1.30132727,1.32346801,0.00778679
161,345.07546696,2.32304060,1.32119235,0.00227565
162,346.13483119,-1.05936423,1.32365074,-0.00245838
163,340.93587184,5.19895934,1.31688367,0.00676706
164,339.14281487,1.79305698,1.31801307,-0.00112939
165,338.54337086,0.59944401,1.31979978,-0.00178671
166,336.89852229,1.64484857,1.31506428,0.00473550
167,334.40854392,2.48997837,1.31198643,0.00307785
168,334.23456479,0.17397912,1.30923250,0.00275393
169,331.07788768,3.15667711,1.30921974,0.00001276
170,330.86800571,0.20988197,1.30981912,-0.00059939
171,329.79329467,1.07471105,1.31188225,-0.00206312
172,326.61490977,3.17838490,1.30762887,0.00425338
173,326.20825347,0.40665629,1.30800725,-0.00037838
174,323.95599199,2.25226149,1.30314097,0.00486628
175,322.18094718,1.77504480,1.30043600,0.00270496
176,320.78586360,1.39508358,1.29884283,0.00159317
177,325.41032512,-4.62446151,1.30563876,-0.00679593
178,319.16020240,6.25012272,1.30120836,0.00443040
179,318.30897074,0.85123166,1.29980069,0.00140768
180,315.68167217,2.62729857,1.29703283,0.00276786
181,316.05223956,-0.37056740,1.29233045,0.00470238
182,313.68018448,2.37205508,1.29838661,-0.00605616
183,311.19445982,2.48572467,1.29073115,0.00765546
184,310.00639322,1.18806660,1.29290409,-0.00217294
185,309.39383684,0.61255638,1.28986071,0.00304338
186,307.25747892,2.13635792,1.29171552,-0.00185481
187,307.42628140,-0.16880248,1.28577732,0.00593820
188,304.97843825,2.44784315,1.28895666,-0.00317934
189,303.88343212,1.09500613,1.28324013,0.00571653
190,302.29055545,1.59287667,1.28935699,-0.00611686
191,300.91755488,1.37300057,1.28607613,0.00328086
192,299.73524155,1.18231333,1.28750133,-0.00142520
193,299.14726695,0.58797460,1.28219879,0.00530254
194,300.76823261,-1.62096567,1.28603687,-0.00383808
195,296.08567493,4.68255768,1.28501158,0.00102529
196,296.06206111,0.02361382,1.28676158,-0.00175000
197,295.37531149,0.68674962,1.27986883,0.00689274
198,293.20804851,2.16726298,1.28435937,-0.00449054
