Iteration:97 Cost:271.2536737424031 Improvement:0.07547795769067989
Iteration:98 Cost:271.1990416214264 Improvement:0.05688441678518075
Iteration:99 Cost:271.1633077946755 Improvement:0.05463212097674841
Iteration:100 Cost:271.0749130905095 Improvement:0.03573382675085668
Iteration:101 Cost:271.02404477420527 Improvement:0.0883947041660349
Iteration:102 Cost:270.9534527447713 Improvement:0.05086831630421784
Iteration:103 Cost:270.88593490809836 Improvement:0.07059202943395348
Iteration:104 Cost:270.7905256495855 Improvement:0.0675178366729483
Iteration:105 Cost:270.7305973372681 Improvement:0.0954092585128592
Iteration:106 Cost:270.63364692500653 Improvement:0.05992831231742457
Iteration:107 Cost:270.57484049266986 Improvement:0.09695041226154899
Iteration:108 Cost:270.4938517402013 Improvement:0.0588064323366666
Iteration:109 Cost:270.38573219165346 Improvement:0.08098875246855641
Iteration:110 Cost:270.3034934688285 Improvement:0.10811954854784744
Iteration:111 Cost:270.215479950643 Improvement:0.08223872282496814
Iteration:112 Cost:270.1437444324216 Improvement:0.08801351818550529
Iteration:113 Cost:270.06581818961985 Improvement:0.0717355182213737
Iteration:114 Cost:269.9950133622949 Improvement:0.07792624280176597
Iteration:115 Cost:269.9090445201933 Improvement:0.07080482732493465
Iteration:116 Cost:269.83159346548985 Improvement:0.0859688421016358
Iteration:117 Cost:269.75266349286204 Improvement:0.07745105470343105
Iteration:118 Cost:269.6747123132414 Improvement:0.07892997262780455
Iteration:119 Cost:269.6087424407185 Improvement:0.07795117962064069
Iteration:120 Cost:269.53064482483694 Improvement:0.065969872522885
Iteration:121 Cost:269.4511897801463 Improvement:0.07809761588157471
Iteration:122 Cost:269.3856591130713 Improvement:0.0794550446906328
Iteration:123 Cost:269.3062910277908 Improvement:0.06553066707499511
Iteration:124 Cost:269.22978124222345 Improvement:0.07936808528052097
Iteration:125 Cost:269.16845495936764 Improvement:0.0765097855673389
Iteration:126 Cost:269.08569833262 Improvement:0.061326282855816316
Iteration:127 Cost:269.02382535915353 Improvement:0.08275662674765272
Iteration:128 Cost:268.9277441547293 Improvement:0.06187297346644982
Iteration:129 Cost:268.85040323601487 Improvement:0.09608120442425161
Iteration:130 Cost:268.7737614927815 Improvement:0.07734091871441251
Iteration:131 Cost:268.6964503722926 Improvement:0.07664174323338102
Iteration:132 Cost:268.6204146454985 Improvement:0.07731112048890054
Iteration:133 Cost:268.54648275877236 Improvement:0.07603572679408899
Iteration:134 Cost:268.4767523662466 Improvement:0.07393188672614315
Iteration:135 Cost:268.40748330759664 Improvement:0.06973039252574154
Iteration:136 Cost:268.32958466587843 Improvement:0.06926905864997934
Iteration:137 Cost:268.2494811465588 Improvement:0.07789864171820682
Iteration:138 Cost:268.1794216784179 Improvement:0.08010351931960713
Iteration:139 Cost:268.1028909983835 Improvement:0.07005946814092567
Iteration:140 Cost:268.02543159895345 Improvement:0.07653068003440922
Iteration:141 Cost:267.9505831444571 Improvement:0.07745939943004032
Iteration:142 Cost:267.87606065059396 Improvement:0.07484845449636168
Iteration:143 Cost:267.80150506326885 Improvement:0.07452249386312815
Iteration:144 Cost:267.7272455389701 Improvement:0.07455558732510781
Iteration:145 Cost:267.6512462447395 Improvement:0.07425952429872495
Iteration:146 Cost:267.5800597220866 Improvement:0.07599929423059848
Iteration:147 Cost:267.509559170623 Improvement:0.07118652265290848
Iteration:148 Cost:267.4368434209305 Improvement:0.0705005514636241
Iteration:149 Cost:267.35588935686087 Improvement:0.07271574969252015
Iteration:150 Cost:267.2888031048898 Improvement:0.08095406406960137
Iteration:151 Cost:267.22380866625895 Improvement:0.06708625197109086
Iteration:152 Cost:267.14784054110663 Improvement:0.06499443863083343
Iteration:153 Cost:267.064708840552 Improvement:0.07596812515231477
Iteration:154 Cost:266.97691907278966 Improvement:0.08313170055464525
Iteration:155 Cost:266.89991348925935 Improvement:0.08778976776233094
Iteration:156 Cost:266.8247194406033 Improvement:0.07700558353030829
Iteration:157 Cost:266.75024831417886 Improvement:0.07519404865604429
Iteration:158 Cost:266.6789939489608 Improvement:0.07447112642444154
Iteration:159 Cost:266.6018591645043 Improvement:0.07125436521806705
Iteration:160 Cost:266.5321889291041 Improvement:0.07713478445651845
Iteration:161 Cost:266.4583170883112 Improvement:0.06967023540016726
Iteration:162 Cost:266.38350833086133 Improvement:0.07387184079289
Iteration:163 Cost:266.30915756892733 Improvement:0.0748087574498868
Iteration:164 Cost:266.23277257478026 Improvement:0.07435076193399937
Iteration:165 Cost:266.15106224944395 Improvement:0.07638499414707667
Iteration:166 Cost:266.08056138858416 Improvement:0.08171032533630296
Iteration:167 Cost:266.00764814764307 Improvement:0.07050086085979501
Iteration:168 Cost:265.9278828034364 Improvement:0.07291324094109086
Iteration:169 Cost:265.8755594901147 Improvement:0.07976534420669168
Iteration:170 Cost:265.8140108071017 Improvement:0.052323313321664955
Iteration:171 Cost:265.74496321307595 Improvement:0.061548683013029404
Iteration:172 Cost:265.6584968875817 Improvement:0.0690475940257329
Iteration:173 Cost:265.59236532004866 Improvement:0.08646632549425703
Iteration:174 Cost:265.51228596762684 Improvement:0.06613156753303429
Iteration:175 Cost:265.4459724612603 Improvement:0.0800793524218193
Iteration:176 Cost:265.3933796071269 Improvement:0.06631350636655498
Iteration:177 Cost:265.30890006225735 Improvement:0.05259285413336556
Iteration:178 Cost:265.2237721166552 Improvement:0.08447954486956633
Iteration:179 Cost:265.14857613662616 Improvement:0.08512794560215298
Iteration:180 Cost:265.080400448301 Improvement:0.07519598002903649
Iteration:181 Cost:265.01106860593495 Improvement:0.06817568832514098
Iteration:182 Cost:264.9120086853784 Improvement:0.06933184236606849
Iteration:183 Cost:264.8717903584796 Improvement:0.09905992055655588
Iteration:184 Cost:264.7702579793407 Improvement:0.040218326898809664
Iteration:185 Cost:264.69632412202924 Improvement:0.1015323791388596
Iteration:186 Cost:264.6456640369587 Improvement:0.07393385731148783
Iteration:187 Cost:264.568085070237 Improvement:0.050660085070546756
Iteration:188 Cost:264.49117029171185 Improvement:0.07757896672171682
Iteration:189 Cost:264.44853121643126 Improvement:0.07691477852512207
Iteration:190 Cost:264.373251289119 Improvement:0.04263907528059008
Iteration:191 Cost:264.3135606645378 Improvement:0.07527992731223776
Iteration:192 Cost:264.231624914929 Improvement:0.059690624581207885
Iteration:193 Cost:264.11428188925385 Improvement:0.08193574960881733
Iteration:194 Cost:264.06886289788736 Improvement:0.11734302567515442
Iteration:195 Cost:263.97708305252047 Improvement:0.04541899136648908
Iteration:196 Cost:263.8927384446154 Improvement:0.09177984536688655
Iteration:197 Cost:263.79641198123204 Improvement:0.08434460790505227
Iteration:198 Cost:263.7302860838945 Improvement:0.09632646338337736
Iteration:199 Cost:263.66332780376035 Improvement:0.06612589733754248
Iteration:200 Cost:263.55173071406364 Improvement:0.06695828013414484
Iteration:201 Cost:263.48629951617454 Improvement:0.11159708969671556
Iteration:202 Cost:263.41917231392364 Improvement:0.06543119788909735
Iteration:203 Cost:263.3502506489837 Improvement:0.06712720225090152
Iteration:204 Cost:263.2506478079635 Improvement:0.06892166493992136
Iteration:205 Cost:263.1843527609223 Improvement:0.09960284102021433
Iteration:206 Cost:263.11316195039564 Improvement:0.06629504704119427
Iteration:207 Cost:263.04585444687103 Improvement:0.07119081052667298
Iteration:208 Cost:262.98353850554287 Improvement:0.06730750352460291
Iteration:209 Cost:262.906004997023 Improvement:0.062315941328165536
Iteration:210 Cost:262.8154480973753 Improvement:0.07753350851987761
Iteration:211 Cost:262.7312702525311 Improvement:0.09055689964770863
Iteration:212 Cost:262.6785785144306 Improvement:0.08417784484419144
Iteration:213 Cost:262.599964843623 Improvement:0.05269173810046368
Iteration:214 Cost:262.5327069300758 Improvement:0.07861367080761283
Iteration:215 Cost:262.45980457827966 Improvement:0.06725791354722332
Iteration:216 Cost:262.3980391946962 Improvement:0.07290235179613092
Iteration:217 Cost:262.3275454075716 Improvement:0.06176538358346306
Iteration:218 Cost:262.28396319094196 Improvement:0.0704937871245761
Iteration:219 Cost:262.22907084842666 Improvement:0.04358221662965889
Iteration:220 Cost:262.16370174094095 Improvement:0.05489234251530206
