Itr:50 Energy:-0.06348783839127453 Cost:455.188715964662 energy_imp:2.4969828333457067e-05 cost_imp:1.454479742625665
Itr:51 Energy:-0.06351232170569497 Cost:453.75661205666944 energy_imp:2.4483314420439828e-05 cost_imp:1.4321039079925413
Itr:52 Energy:-0.06353633080642329 Cost:452.3464137556734 energy_imp:2.4009100728319965e-05 cost_imp:1.4101983009960577
Itr:53 Energy:-0.06355987765127787 Cost:450.9576629104079 energy_imp:2.3546844854574478e-05 cost_imp:1.3887508452654629
Itr:54 Energy:-0.06358297386625154 Cost:449.58991307858673 energy_imp:2.3096214973677975e-05 cost_imp:1.367749831821186
Itr:55 Energy:-0.06360563075572329 Cost:448.2427291724142 energy_imp:2.265688947174216e-05 cost_imp:1.3471839061725177
Itr:56 Energy:-0.06362785931231912 Cost:446.91568711648347 energy_imp:2.2228556595838e-05 cost_imp:1.3270420559307468
Itr:57 Energy:-0.06364967022643564 Cost:445.608373517567 energy_imp:2.18109141165157e-05 cost_imp:1.307313598916494
Itr:58 Energy:-0.06367107389543877 Cost:444.3203853458418 energy_imp:2.140366900313384e-05 cost_imp:1.2879881717251465
Itr:59 Energy:-0.06369208043255059 Cost:443.05132962708933 energy_imp:2.1006537111817325e-05 cost_imp:1.2690557187524973
Itr:60 Energy:-0.06371269967543552 Cost:441.8008231454501 energy_imp:2.0619242884933886e-05 cost_imp:1.2505064816392064
Itr:61 Energy:-0.06373294119449763 Cost:440.568492156322 energy_imp:2.024151906210303e-05 cost_imp:1.2323309891281156
Itr:62 Energy:-0.0637528143008995 Cost:439.3539721090104 energy_imp:1.9873106401877005e-05 cost_imp:1.2145200473116233
Itr:63 Energy:-0.06377232805431371 Cost:438.1569073787509 energy_imp:1.9513753414204804e-05 cost_imp:1.1970647302595125
Itr:64 Energy:-0.06379149127041545 Cost:436.97695100775593 energy_imp:1.9163216101736325e-05 cost_imp:1.1799563709949439
Itr:65 Energy:-0.06381031252812812 Cost:435.81376445492845 energy_imp:1.8821257712672845e-05 cost_imp:1.163186552827483
Itr:66 Energy:-0.06382880017662877 Cost:434.6670173539254 energy_imp:1.8487648500653542e-05 cost_imp:1.1467471010030295
Itr:67 Energy:-0.0638469623421237 Cost:433.5363872792522 energy_imp:1.8162165494925442e-05 cost_imp:1.1306300746732063
Itr:68 Energy:-0.06386480693440173 Cost:432.4215595200798 energy_imp:1.7844592278035143e-05 cost_imp:1.1148277591723854
Itr:69 Energy:-0.06388234165317415 Cost:431.3222268615089 energy_imp:1.753471877241619e-05 cost_imp:1.0993326585709156
Itr:70 Energy:-0.06389957399420798 Cost:430.23808937298884 energy_imp:1.7232341033832088e-05 cost_imp:1.0841374885200707
Itr:71 Energy:-0.06391651125526088 Cost:429.16885420364065 energy_imp:1.693726105289617e-05 cost_imp:1.0692351693481896
