Iteration:98 Cost:589.5722072953184 Improvement:0.31950991397889084
Iteration:99 Cost:589.1649145225251 Improvement:0.9781174003185242
Iteration:100 Cost:589.6525764679106 Improvement:0.407292772793312
Iteration:101 Cost:588.9037230177307 Improvement:-0.48766194538552554
Iteration:102 Cost:588.2840854119204 Improvement:0.7488534501799222
Iteration:103 Cost:587.9832208519301 Improvement:0.6196376058103397
Iteration:104 Cost:587.7129111645272 Improvement:0.3008645599902593
Iteration:105 Cost:587.2573494517933 Improvement:0.2703096874029143
Iteration:106 Cost:587.6706138459509 Improvement:0.45556171273392465
Iteration:107 Cost:587.015023895815 Improvement:-0.41326439415763616
Iteration:108 Cost:586.408024505462 Improvement:0.6555899501358908
Iteration:109 Cost:586.2814741621185 Improvement:0.6069993903530531
Iteration:110 Cost:585.7634002508048 Improvement:0.12655034334352422
Iteration:111 Cost:585.6867768061488 Improvement:0.5180739113136497
Iteration:112 Cost:585.4370835580377 Improvement:0.07662344465597926
Iteration:113 Cost:584.9426867707432 Improvement:0.24969324811115712
Iteration:114 Cost:585.4536849893136 Improvement:0.4943967872944768
Iteration:115 Cost:584.551464403332 Improvement:-0.5109982185704212
Iteration:116 Cost:584.2245519498292 Improvement:0.9022205859815813
Iteration:117 Cost:583.9375221323808 Improvement:0.32691245350281406
Iteration:118 Cost:583.9227878659307 Improvement:0.287029817448456
Iteration:119 Cost:584.068008739749 Improvement:0.014734266450091127
Iteration:120 Cost:583.3589544912465 Improvement:-0.14522087381828896
Iteration:121 Cost:583.8147827980655 Improvement:0.7090542485024116
Iteration:122 Cost:582.8526372048321 Improvement:-0.45582830681894393
Iteration:123 Cost:582.8709720352111 Improvement:0.9621455932333447
Iteration:124 Cost:582.7236574778876 Improvement:-0.018334830378989864
Iteration:125 Cost:582.1019117403142 Improvement:0.1473145573235115
Iteration:126 Cost:581.8515712442677 Improvement:0.6217457375734057
Iteration:127 Cost:581.6522819183955 Improvement:0.2503404960465332
Iteration:128 Cost:582.0006599413442 Improvement:0.1992893258722006
Iteration:129 Cost:581.4465140768017 Improvement:-0.34837802294873654
Iteration:130 Cost:581.0160049345616 Improvement:0.5541458645425337
Iteration:131 Cost:580.8108566300177 Improvement:0.43050914224011194
Iteration:132 Cost:580.6067066088548 Improvement:0.20514830454385447
Iteration:133 Cost:580.5669354102308 Improvement:0.20415002116294545
Iteration:134 Cost:580.3058556786082 Improvement:0.03977119862395284
Iteration:135 Cost:580.9697561192213 Improvement:0.2610797316226581
Iteration:136 Cost:579.9395534867431 Improvement:-0.6639004406131335
Iteration:137 Cost:579.7202280523313 Improvement:1.0302026324782219
Iteration:138 Cost:580.08194271559 Improvement:0.21932543441175767
Iteration:139 Cost:579.3628056262975 Improvement:-0.36171466325868096
Iteration:140 Cost:579.3333247101785 Improvement:0.7191370892925306
Iteration:141 Cost:579.7689785429525 Improvement:0.02948091611892778
Iteration:142 Cost:579.6265410015743 Improvement:-0.4356538327739372
Iteration:143 Cost:578.6137108454067 Improvement:0.14243754137817177
Iteration:144 Cost:578.4170279797424 Improvement:1.012830156167638
Iteration:145 Cost:578.517105251725 Improvement:0.1966828656642292
Iteration:146 Cost:578.1720274412091 Improvement:-0.1000772719825136
Iteration:147 Cost:578.706625928253 Improvement:0.3450778105158179
Iteration:148 Cost:578.0565750949311 Improvement:-0.5345984870438087
Iteration:149 Cost:577.8826961875568 Improvement:0.6500508333218704
Iteration:150 Cost:577.4491098085758 Improvement:0.1738789073742737
Iteration:151 Cost:577.2953895342595 Improvement:0.4335863789809764
Iteration:152 Cost:577.1648858470371 Improvement:0.15372027431635615
Iteration:153 Cost:577.0053061802444 Improvement:0.13050368722235817
Iteration:154 Cost:577.4150509224413 Improvement:0.1595796667927516
Iteration:155 Cost:576.7062249713001 Improvement:-0.4097447421969491
Iteration:156 Cost:576.5452673574886 Improvement:0.7088259511411934
Iteration:157 Cost:576.4090364371655 Improvement:0.16095761381154716
Iteration:158 Cost:576.4621828347814 Improvement:0.1362309203231007
Iteration:159 Cost:576.751970999978 Improvement:-0.05314639761593298
Iteration:160 Cost:576.0254678126067 Improvement:-0.289788165196569
Iteration:161 Cost:575.8762612563215 Improvement:0.726503187371236
Iteration:162 Cost:576.1895940450108 Improvement:0.14920655628520763
Iteration:163 Cost:575.5820118221806 Improvement:-0.3133327886893085
Iteration:164 Cost:575.4393320429039 Improvement:0.6075822228302741
Iteration:165 Cost:575.3102712072028 Improvement:0.14267977927670472
Iteration:166 Cost:575.1757827502046 Improvement:0.12906083570101146
Iteration:167 Cost:575.4639821780686 Improvement:0.1344884569982696
Iteration:168 Cost:575.0836651055082 Improvement:-0.288199427864015
Iteration:169 Cost:574.8033048853786 Improvement:0.3803170725603877
Iteration:170 Cost:574.8661360840059 Improvement:0.2803602201296371
Iteration:171 Cost:574.7752524399231 Improvement:-0.0628311986273502
Iteration:172 Cost:574.5472590560686 Improvement:0.09088364408285088
Iteration:173 Cost:574.441217179289 Improvement:0.2279933838544821
Iteration:174 Cost:574.5595691760975 Improvement:0.10604187677961363
Iteration:175 Cost:574.0611445047738 Improvement:-0.11835199680854203
Iteration:176 Cost:573.9553850549814 Improvement:0.4984246713237326
Iteration:177 Cost:573.8499961336605 Improvement:0.10575944979234464
Iteration:178 Cost:574.1040212774585 Improvement:0.10538892132092315
Iteration:179 Cost:573.8040677686521 Improvement:-0.25402514379800323
Iteration:180 Cost:573.5844288655065 Improvement:0.2999535088064249
Iteration:181 Cost:573.4103891562887 Improvement:0.219638903145551
Iteration:182 Cost:573.2791147210885 Improvement:0.17403970921782275
Iteration:183 Cost:573.8400656117462 Improvement:0.13127443520022553
Iteration:184 Cost:573.0950581186097 Improvement:-0.5609508906577503
Iteration:185 Cost:572.9978236442302 Improvement:0.7450074931365407
Iteration:186 Cost:572.9792501789238 Improvement:0.09723447437954746
Iteration:187 Cost:573.0765108941082 Improvement:0.01857346530630366
Iteration:188 Cost:573.0100997305642 Improvement:-0.09726071518434765
Iteration:189 Cost:572.6105440137497 Improvement:0.06641116354398946
